,model_type,model,sweeps_market_variables,sweep_news_agg,sweep_buy_sell,before_data,sweep_grid,best_score,best_params,accuracy_test,accuracy_per_class,ocurrences_per_class,total_ocurrences,elapsed_time
0,clf,kn,basic,ALL_YES_1_1_1,60_180,included,basic,0.66,{'n_neighbors': 51},0.66,"[40.30612244897959, 85.4043392504931, 41.58878504672897]","[196, 507, 214]",917,1.76
1,clf,svc-rbf,basic,ALL_YES_1_1_1,60_180,included,basic,0.53,"{'C': 1, 'gamma': 1}",0.55,"[0.0, 100.0, 0.0]","[196, 507, 214]",917,3.72
2,clf,dtree,basic,ALL_YES_1_1_1,60_180,included,basic,0.67,"{'max_depth': 3, 'min_samples_leaf': 100}",0.66,"[50.51020408163265, 84.02366863905326, 36.91588785046729]","[196, 507, 214]",917,0.26
3,clf,rforest,basic,ALL_YES_1_1_1,60_180,included,basic,0.68,"{'max_depth': 5, 'min_samples_leaf': 50, 'n_estimators': 100}",0.66,"[45.40816326530612, 82.64299802761342, 44.85981308411215]","[196, 507, 214]",917,10.19
4,clf,xgb,basic,ALL_YES_1_1_1,60_180,included,basic,0.68,{'n_estimators': 10},0.67,"[48.46938775510204, 81.85404339250493, 46.728971962616825]","[196, 507, 214]",917,1.04
5,clf,gboosting,basic,ALL_YES_1_1_1,60_180,included,basic,0.68,{'n_estimators': 10},0.66,"[46.93877551020408, 82.44575936883629, 45.32710280373832]","[196, 507, 214]",917,1.42
6,clf,ada,basic,ALL_YES_1_1_1,60_180,included,basic,0.66,{'n_estimators': 10},0.67,"[52.04081632653061, 77.90927021696253, 52.80373831775701]","[196, 507, 214]",917,0.49
0,clf,kn,all,ALL_YES_1_1_1,60_180,included,basic,0.66,{'n_neighbors': 61},0.65,"[39.285714285714285, 86.3905325443787, 39.7196261682243]","[196, 507, 214]",917,2.31
1,clf,svc-rbf,all,ALL_YES_1_1_1,60_180,included,basic,0.53,"{'C': 1, 'gamma': 1}",0.55,"[0.0, 100.0, 0.0]","[196, 507, 214]",917,4.03
2,clf,dtree,all,ALL_YES_1_1_1,60_180,included,basic,0.67,"{'max_depth': 3, 'min_samples_leaf': 100}",0.66,"[50.51020408163265, 84.02366863905326, 36.91588785046729]","[196, 507, 214]",917,0.31
3,clf,rforest,all,ALL_YES_1_1_1,60_180,included,basic,0.67,"{'max_depth': 5, 'min_samples_leaf': 50, 'n_estimators': 50}",0.65,"[42.3469387755102, 83.4319526627219, 42.52336448598131]","[196, 507, 214]",917,10.77
4,clf,xgb,all,ALL_YES_1_1_1,60_180,included,basic,0.68,{'n_estimators': 10},0.66,"[47.95918367346939, 81.65680473372781, 46.728971962616825]","[196, 507, 214]",917,1.26
5,clf,gboosting,all,ALL_YES_1_1_1,60_180,included,basic,0.68,{'n_estimators': 10},0.66,"[46.42857142857143, 82.44575936883629, 45.32710280373832]","[196, 507, 214]",917,1.72
6,clf,ada,all,ALL_YES_1_1_1,60_180,included,basic,0.66,{'n_estimators': 10},0.67,"[52.04081632653061, 77.90927021696253, 52.80373831775701]","[196, 507, 214]",917,0.57
0,clf,kn,basic,ALL_YES_3_2_1,60_180,included,basic,0.66,{'n_neighbors': 31},0.65,"[37.244897959183675, 85.60157790927022, 41.58878504672897]","[196, 507, 214]",917,2.11
1,clf,svc-rbf,basic,ALL_YES_3_2_1,60_180,included,basic,0.53,"{'C': 1, 'gamma': 1}",0.55,"[0.0, 100.0, 0.0]","[196, 507, 214]",917,3.61
2,clf,dtree,basic,ALL_YES_3_2_1,60_180,included,basic,0.67,"{'max_depth': 3, 'min_samples_leaf': 100}",0.66,"[50.51020408163265, 84.02366863905326, 36.91588785046729]","[196, 507, 214]",917,0.25
3,clf,rforest,basic,ALL_YES_3_2_1,60_180,included,basic,0.68,"{'max_depth': 5, 'min_samples_leaf': 20, 'n_estimators': 50}",0.66,"[45.40816326530612, 82.24852071005917, 44.39252336448598]","[196, 507, 214]",917,11.00
4,clf,xgb,basic,ALL_YES_3_2_1,60_180,included,basic,0.68,{'n_estimators': 50},0.65,"[47.95918367346939, 79.28994082840237, 48.13084112149533]","[196, 507, 214]",917,1.22
5,clf,gboosting,basic,ALL_YES_3_2_1,60_180,included,basic,0.68,{'n_estimators': 50},0.65,"[51.53061224489796, 77.51479289940828, 47.19626168224299]","[196, 507, 214]",917,1.72
6,clf,ada,basic,ALL_YES_3_2_1,60_180,included,basic,0.66,{'n_estimators': 10},0.67,"[52.04081632653061, 77.90927021696253, 52.80373831775701]","[196, 507, 214]",917,0.53
0,clf,kn,all,ALL_YES_3_2_1,60_180,included,basic,0.66,{'n_neighbors': 71},0.65,"[37.755102040816325, 87.3767258382643, 38.3177570093458]","[196, 507, 214]",917,2.69
1,clf,svc-rbf,all,ALL_YES_3_2_1,60_180,included,basic,0.53,"{'C': 1, 'gamma': 1}",0.55,"[0.0, 100.0, 0.0]","[196, 507, 214]",917,3.84
2,clf,dtree,all,ALL_YES_3_2_1,60_180,included,basic,0.67,"{'max_depth': 3, 'min_samples_leaf': 100}",0.66,"[50.51020408163265, 84.02366863905326, 36.91588785046729]","[196, 507, 214]",917,0.31
3,clf,rforest,all,ALL_YES_3_2_1,60_180,included,basic,0.67,"{'max_depth': 5, 'min_samples_leaf': 50, 'n_estimators': 50}",0.65,"[42.857142857142854, 83.62919132149901, 42.52336448598131]","[196, 507, 214]",917,10.61
4,clf,xgb,all,ALL_YES_3_2_1,60_180,included,basic,0.67,{'n_estimators': 10},0.66,"[47.95918367346939, 81.06508875739645, 46.728971962616825]","[196, 507, 214]",917,1.37
5,clf,gboosting,all,ALL_YES_3_2_1,60_180,included,basic,0.68,{'n_estimators': 50},0.66,"[50.0, 79.09270216962524, 47.66355140186916]","[196, 507, 214]",917,1.78
6,clf,ada,all,ALL_YES_3_2_1,60_180,included,basic,0.66,{'n_estimators': 10},0.67,"[52.04081632653061, 77.90927021696253, 52.80373831775701]","[196, 507, 214]",917,0.53
0,clf,kn,basic,High_NO_1_1_1,60_180,included,basic,0.58,{'n_neighbors': 21},0.55,"[46.10778443113772, 66.99507389162562, 48.507462686567166]","[167, 203, 134]",504,0.33
1,clf,svc-rbf,basic,High_NO_1_1_1,60_180,included,basic,0.42,"{'C': 1, 'gamma': 1}",0.40,"[0.0, 100.0, 0.0]","[167, 203, 134]",504,0.95
2,clf,dtree,basic,High_NO_1_1_1,60_180,included,basic,0.61,"{'max_depth': 3, 'min_samples_leaf': 10}",0.57,"[52.69461077844311, 70.93596059113301, 41.04477611940298]","[167, 203, 134]",504,0.17
3,clf,rforest,basic,High_NO_1_1_1,60_180,included,basic,0.61,"{'max_depth': 6, 'min_samples_leaf': 50, 'n_estimators': 50}",0.58,"[53.89221556886228, 66.99507389162562, 48.507462686567166]","[167, 203, 134]",504,7.10
4,clf,xgb,basic,High_NO_1_1_1,60_180,included,basic,0.61,{'n_estimators': 50},0.58,"[55.68862275449102, 64.03940886699507, 50.74626865671642]","[167, 203, 134]",504,0.62
5,clf,gboosting,basic,High_NO_1_1_1,60_180,included,basic,0.62,{'n_estimators': 50},0.58,"[55.68862275449102, 64.5320197044335, 52.23880597014925]","[167, 203, 134]",504,0.82
6,clf,ada,basic,High_NO_1_1_1,60_180,included,basic,0.60,{'n_estimators': 10},0.53,"[52.09580838323353, 53.69458128078818, 51.492537313432834]","[167, 203, 134]",504,0.29
0,clf,kn,all,High_NO_1_1_1,60_180,included,basic,0.58,{'n_neighbors': 21},0.55,"[45.50898203592814, 67.98029556650246, 47.014925373134325]","[167, 203, 134]",504,0.31
1,clf,svc-rbf,all,High_NO_1_1_1,60_180,included,basic,0.42,"{'C': 1, 'gamma': 1}",0.40,"[0.0, 100.0, 0.0]","[167, 203, 134]",504,0.85
2,clf,dtree,all,High_NO_1_1_1,60_180,included,basic,0.61,"{'max_depth': 3, 'min_samples_leaf': 20}",0.57,"[52.69461077844311, 70.93596059113301, 41.04477611940298]","[167, 203, 134]",504,0.13
3,clf,rforest,all,High_NO_1_1_1,60_180,included,basic,0.61,"{'max_depth': 6, 'min_samples_leaf': 20, 'n_estimators': 50}",0.57,"[50.89820359281437, 66.50246305418719, 49.25373134328358]","[167, 203, 134]",504,6.44
4,clf,xgb,all,High_NO_1_1_1,60_180,included,basic,0.62,{'n_estimators': 50},0.59,"[57.48502994011976, 66.00985221674877, 50.74626865671642]","[167, 203, 134]",504,0.60
5,clf,gboosting,all,High_NO_1_1_1,60_180,included,basic,0.61,{'n_estimators': 100},0.59,"[57.48502994011976, 63.05418719211823, 52.985074626865675]","[167, 203, 134]",504,0.88
6,clf,ada,all,High_NO_1_1_1,60_180,included,basic,0.60,{'n_estimators': 10},0.53,"[52.09580838323353, 53.69458128078818, 51.492537313432834]","[167, 203, 134]",504,0.30
0,clf,kn,basic,High_YES_1_1_1,60_180,included,basic,0.60,{'n_neighbors': 91},0.61,"[41.666666666666664, 78.45303867403315, 51.0]","[108, 181, 100]",389,0.23
1,clf,svc-rbf,basic,High_YES_1_1_1,60_180,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.47,"[0.0, 100.0, 0.0]","[108, 181, 100]",389,0.46
2,clf,dtree,basic,High_YES_1_1_1,60_180,included,basic,0.61,"{'max_depth': 2, 'min_samples_leaf': 250}",0.63,"[54.629629629629626, 76.24309392265194, 48.0]","[108, 181, 100]",389,0.09
3,clf,rforest,basic,High_YES_1_1_1,60_180,included,basic,0.61,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 200}",0.61,"[50.925925925925924, 70.1657458563536, 56.0]","[108, 181, 100]",389,5.28
4,clf,xgb,basic,High_YES_1_1_1,60_180,included,basic,0.60,{'n_estimators': 100},0.62,"[53.7037037037037, 67.95580110497238, 59.0]","[108, 181, 100]",389,0.42
5,clf,gboosting,basic,High_YES_1_1_1,60_180,included,basic,0.61,{'n_estimators': 50},0.60,"[51.851851851851855, 65.74585635359117, 59.0]","[108, 181, 100]",389,0.63
6,clf,ada,basic,High_YES_1_1_1,60_180,included,basic,0.59,{'n_estimators': 10},0.60,"[54.629629629629626, 61.32596685082873, 64.0]","[108, 181, 100]",389,0.24
0,clf,kn,all,High_YES_1_1_1,60_180,included,basic,0.60,{'n_neighbors': 81},0.62,"[43.51851851851852, 79.55801104972376, 49.0]","[108, 181, 100]",389,0.29
1,clf,svc-rbf,all,High_YES_1_1_1,60_180,included,basic,0.45,"{'C': 1, 'gamma': 1}",0.47,"[0.0, 100.0, 0.0]","[108, 181, 100]",389,0.50
2,clf,dtree,all,High_YES_1_1_1,60_180,included,basic,0.61,"{'max_depth': 2, 'min_samples_leaf': 250}",0.63,"[54.629629629629626, 76.24309392265194, 48.0]","[108, 181, 100]",389,0.10
3,clf,rforest,all,High_YES_1_1_1,60_180,included,basic,0.61,"{'max_depth': 4, 'min_samples_leaf': 50, 'n_estimators': 50}",0.59,"[48.148148148148145, 67.95580110497238, 54.0]","[108, 181, 100]",389,3.73
4,clf,xgb,all,High_YES_1_1_1,60_180,included,basic,0.60,{'n_estimators': 10},0.60,"[55.55555555555556, 65.74585635359117, 56.0]","[108, 181, 100]",389,0.29
5,clf,gboosting,all,High_YES_1_1_1,60_180,included,basic,0.61,{'n_estimators': 50},0.60,"[52.77777777777778, 66.29834254143647, 56.0]","[108, 181, 100]",389,0.36
6,clf,ada,all,High_YES_1_1_1,60_180,included,basic,0.59,{'n_estimators': 10},0.60,"[54.629629629629626, 61.32596685082873, 64.0]","[108, 181, 100]",389,0.11
