,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2018-10-21 00:00:00,,,Non-Economic,Bank Holiday,,,43
1,,AUD,2018-10-21 21:00:00,,,Medium,RBA Assist Gov Debelle Speaks,,,43
2,0.5%,JPY,2018-10-21 23:30:00,0.4%,,Low,All Industries Activity m/m,-0.2%,worse,43
3,,EUR,2018-10-22 05:00:00,,,Low,German Buba Monthly Report,,,43
4,-0.1%,CAD,2018-10-22 07:30:00,0.1%,worse,Low,Wholesale Sales m/m,1.1%,worse,43
5,0.2%,AUD,2018-10-22 09:30:00,,,Low,CB Leading Index m/m,0.1%,,43
6,,AUD,2018-10-22 17:35:00,,,Medium,RBA Assist Gov Debelle Speaks,,,43
7,,AUD,2018-10-22 22:00:00,,,Medium,RBA Assist Gov Bullock Speaks,,,43
8,,AUD,2018-10-22 23:30:00,,,Medium,RBA Assist Gov Debelle Speaks,,,43
9,0.5%,JPY,2018-10-23 00:00:00,,,Low,BOJ Core CPI y/y,0.5%,,43
10,0.5%,EUR,2018-10-23 01:00:00,0.3%,better,Low,German PPI m/m,0.3%,,43
11,-6,GBP,2018-10-23 05:00:00,-1,worse,Low,CBI Industrial Order Expectations,-1,,43
12,,GBP,2018-10-23 05:30:00,,,Medium,MPC Member Haldane Speaks,,,43
13,-3,EUR,2018-10-23 09:00:00,-3,,Low,Consumer Confidence,-3,,43
14,15,USD,2018-10-23 09:00:00,25,worse,Low,Richmond Manufacturing Index,29,,43
15,,GBP,2018-10-23 10:20:00,,,High,BOE Gov Carney Speaks,,,43
16,,USD,2018-10-23 12:30:00,,,Medium,FOMC Member Bostic Speaks,,,43
17,53.1,JPY,2018-10-23 19:30:00,52.6,better,Low,Flash Manufacturing PMI,52.5,worse,43
18,51.2,EUR,2018-10-24 02:15:00,52.4,worse,Medium,French Flash Manufacturing PMI,52.5,,43
19,55.6,EUR,2018-10-24 02:15:00,54.7,better,Medium,French Flash Services PMI,54.8,better,43
20,52.3,EUR,2018-10-24 02:30:00,53.4,worse,Medium,German Flash Manufacturing PMI,53.7,,43
