,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2010-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2010-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,,JPY,2010-12-26 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
3,,JPY,2010-12-26 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
4,-1.1%,JPY,2010-12-26 18:50:00,-1.1%,,Low,SPPI y/y,-1.3%,worse,52
5,6.8%,JPY,2010-12-27 00:00:00,5.0%,better,Low,Housing Starts y/y,6.4%,,52
6,,GBP,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,,CAD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
8,,NZD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
9,,AUD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,-0.4%,JPY,2010-12-27 18:30:00,0.4%,worse,Medium,Household Spending y/y,-0.4%,,52
11,-0.4%,JPY,2010-12-27 18:30:00,-0.4%,,Medium,Tokyo Core CPI y/y,-0.5%,,52
12,-0.5%,JPY,2010-12-27 18:30:00,-0.5%,,Low,National Core CPI y/y,-0.6%,,52
13,5.1%,JPY,2010-12-27 18:30:00,5.1%,,Low,Unemployment Rate,5.1%,,52
14,1.0%,JPY,2010-12-27 18:50:00,1.0%,,Medium,Prelim Industrial Production m/m,-2.0%,worse,52
15,1.3%,JPY,2010-12-27 18:50:00,0.4%,better,Medium,Retail Sales y/y,-0.2%,,52
16,-0.2%,JPY,2010-12-27 20:30:00,0.6%,worse,Medium,Average Cash Earnings y/y,0.5%,worse,52
17,1.63,CHF,2010-12-28 02:00:00,,,Medium,UBS Consumption Indicator,1.71,,52
18,,GBP,2010-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
19,,CAD,2010-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,-0.8%,USD,2010-12-28 09:00:00,-0.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,0.4%,worse,52
21,25,USD,2010-12-28 09:59:00,11,better,Low,Richmond Manufacturing Index,9,,52
22,52.5,USD,2010-12-28 10:00:00,56.2,worse,High,CB Consumer Confidence,54.3,,52
23,1.0%,EUR,2010-12-29 00:00:00,0.8%,better,Medium,German Prelim CPI m/m,0.1%,,52
24,1.9%,EUR,2010-12-29 04:00:00,1.6%,better,Medium,M3 Money Supply y/y,0.9%,,52
25,2.0%,EUR,2010-12-29 04:00:00,1.7%,better,Low,Private Loans y/y,1.5%,better,52
26,-6.1B,GBP,2010-12-29 04:30:00,-5.5B,worse,Low,Housing Equity Withdrawal q/q,-5.8B,better,52
27,2.10,CHF,2010-12-29 05:30:00,2.07,,High,KOF Economic Barometer,2.13,,52
28,48.3,JPY,2010-12-29 18:15:00,,,Low,Final Manufacturing PMI,47.3,,52
