,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,JPY,2007-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,1.7%,AUD,2007-12-30 19:30:00,1.0%,better,Medium,Private Sector Credit m/m,0.9%,worse,52
2,,EUR,2007-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
3,5.00M,USD,2007-12-31 10:00:00,4.97M,better,High,Existing Home Sales,4.98M,,52
4,,NZD,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
5,,AUD,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,CNY,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,,JPY,2007-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
8,55.3,CNY,2007-12-31 20:00:00,,,High,Manufacturing PMI,55.4,,52
9,,JPY,2007-12-23 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,,EUR,2007-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
11,,NZD,2007-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,,AUD,2007-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,5.2,JPY,2007-12-24 18:50:00,5.4,,Medium,BSI Manufacturing Index,7.7,,52
14,1.4%,JPY,2007-12-24 18:50:00,1.4%,,Low,SPPI y/y,1.4%,,52
15,,CHF,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
16,,EUR,2007-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
17,,EUR,2007-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
18,,EUR,2007-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
19,,GBP,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,,CAD,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,USD,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
22,,NZD,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
23,,AUD,2007-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
24,,JPY,2007-12-25 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
25,,CHF,2007-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
26,,EUR,2007-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
27,,EUR,2007-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
28,,GBP,2007-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
29,,CAD,2007-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
30,-6.1%,USD,2007-12-26 09:00:00,-5.6%,worse,Low,S&P/CS Composite-20 HPI y/y,-4.9%,,52
31,-4,USD,2007-12-26 10:00:00,0,worse,Low,Richmond Manufacturing Index,0,,52
32,-27.0%,JPY,2007-12-27 00:00:00,-28.5%,better,Low,Housing Starts y/y,-35.0%,,52
33,44.8K,GBP,2007-12-27 04:30:00,,,Medium,High Street Lending,44.3K,,52
34,10.5B,GBP,2007-12-27 04:30:00,9.4B,better,Low,Housing Equity Withdrawal q/q,10.1B,,52
35,-0.7%,USD,2007-12-27 08:30:00,0.5%,worse,High,Core Durable Goods Orders m/m,-0.9%,worse,52
36,0.1%,USD,2007-12-27 08:30:00,2.0%,worse,Medium,Durable Goods Orders m/m,-0.4%,,52
37,349K,USD,2007-12-27 08:30:00,340K,worse,Low,Unemployment Claims,348K,,52
38,88.6,USD,2007-12-27 10:00:00,86.5,better,High,CB Consumer Confidence,87.8,better,52
39,-3.3M,USD,2007-12-27 10:30:00,-1.4M,,Low,Crude Oil Inventories,-7.6M,,52
40,52.3,JPY,2007-12-27 18:15:00,,,Low,Final Manufacturing PMI,50.8,,52
41,0.3%,JPY,2007-12-27 18:30:00,0.3%,,Medium,Tokyo Core CPI y/y,0.1%,,52
42,-0.6%,JPY,2007-12-27 18:30:00,0.4%,worse,Low,Household Spending y/y,0.6%,,52
43,0.4%,JPY,2007-12-27 18:30:00,0.3%,better,Low,National Core CPI y/y,0.1%,,52
44,3.8%,JPY,2007-12-27 18:30:00,4.0%,better,Low,Unemployment Rate,4.0%,,52
45,-1.6%,JPY,2007-12-27 18:50:00,-1.6%,,Medium,Prelim Industrial Production m/m,1.7%,better,52
46,1.6%,JPY,2007-12-27 18:50:00,0.9%,better,Medium,Retail Sales y/y,0.8%,,52
47,-0.2%,JPY,2007-12-27 20:30:00,-0.3%,better,Low,Average Cash Earnings y/y,-0.1%,worse,52
48,-0.5%,GBP,2007-12-28 02:00:00,-0.4%,,Medium,Nationwide HPI m/m,-0.8%,,52
49,0.5%,EUR,2007-12-28 00:00:00,0.8%,worse,Medium,German Prelim CPI m/m,0.5%,better,52
50,46.0,EUR,2007-12-28 04:00:00,,,Low,Retail PMI,45.9,,52
51,,CHF,2007-12-28 05:00:00,,,Low,SNB Quarterly Bulletin,,,52
52,1.99,CHF,2007-12-28 05:30:00,1.98,,Medium,KOF Economic Barometer,2.02,,52
53,2.13,CHF,2007-12-28 05:30:00,,,Medium,UBS Consumption Indicator,2.21,worse,52
54,4.62|1.3,EUR,2007-12-28 05:30:00,,,Low,Italian 10-y Bond Auction,4.47|1.5,,52
55,56.6,USD,2007-12-28 09:45:00,52.0,better,Medium,Chicago PMI,52.9,,52
56,647K,USD,2007-12-28 10:00:00,718K,worse,High,New Home Sales,711K,worse,52
57,-165B,USD,2007-12-28 10:30:00,-155B,,Low,Natural Gas Storage,-121B,,52
58,1.1%,JPY,2007-12-16 18:50:00,1.2%,,Medium,Tertiary Industry Activity m/m,-1.8%,worse,51
59,,GBP,2007-12-16 19:01:00,,,Low,BOE Quarterly Bulletin,,,51
60,-3.2%,GBP,2007-12-16 19:01:00,,,Low,Rightmove HPI m/m,-0.7%,,51
61,1.3%,AUD,2007-12-16 19:30:00,0.5%,better,Low,Housing Starts q/q,-2.5%,better,51
62,0.0%,CHF,2007-12-17 03:15:00,-2.0%,better,Medium,Industrial Production q/q,7.0%,better,51
63,52.5,EUR,2007-12-17 04:00:00,52.3,,Medium,Flash Manufacturing PMI,52.8,,51
64,53.2,EUR,2007-12-17 04:00:00,54.0,worse,Low,Flash Services PMI,54.1,better,51
65,,EUR,2007-12-17 06:00:00,,,Medium,German Buba Monthly Report,,,51
66,-24.32B,CAD,2007-12-17 08:30:00,-1.03B,worse,Medium,Foreign Securities Purchases,-5.21B,,51
67,-1.4%,CAD,2007-12-17 08:30:00,-2.0%,better,Low,New Motor Vehicle Sales m/m,-2.7%,worse,51
68,-179B,USD,2007-12-17 08:30:00,-183B,better,Medium,Current Account,-189B,,51
69,10.3,USD,2007-12-17 08:30:00,20.0,worse,Medium,Empire State Manufacturing Index,27.4,,51
70,114.0B,USD,2007-12-17 09:00:00,49.0B,better,High,TIC Long-Term Purchases,15.4B,worse,51
71,19,USD,2007-12-17 13:00:00,19,,Low,NAHB Housing Market Index,19,,51
72,,AUD,2007-12-17 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
73,-2.6%,AUD,2007-12-17 20:45:00,,,Medium,HIA New Home Sales m/m,0.8%,,51
74,-24.9,NZD,2007-12-17 21:00:00,,,Medium,ANZ Business Confidence,-19.6,,51
75,6.1%,CHF,2007-12-18 03:15:00,5.1%,better,High,Retail Sales y/y,3.0%,,51
76,2.1%,GBP,2007-12-18 04:30:00,2.2%,worse,High,CPI y/y,2.1%,,51
77,1.4%,GBP,2007-12-18 04:30:00,1.6%,worse,Medium,Core CPI y/y,1.5%,,51
78,4.3%,GBP,2007-12-18 04:30:00,4.2%,better,Low,RPI y/y,4.3%,,51
79,4.0B,EUR,2007-12-18 05:00:00,3.1B,better,Low,Trade Balance,3.6B,worse,51
80,,GBP,2007-12-18 05:35:00,,,High,BOE Gov King Speaks,,,51
81,0.0%,CAD,2007-12-18 07:00:00,0.2%,worse,High,Core CPI m/m,-0.2%,,51
82,0.3%,CAD,2007-12-18 07:00:00,0.2%,better,Medium,CPI m/m,-0.3%,,51
83,0.0%,CAD,2007-12-18 08:30:00,0.1%,worse,Low,Leading Index m/m,0.0%,worse,51
84,1.15M,USD,2007-12-18 08:30:00,1.15M,,High,Building Permits,1.17M,,51
85,1.19M,USD,2007-12-18 08:30:00,1.18M,,Medium,Housing Starts,1.23M,,51
86,2.0%,GBP,2007-12-18 09:00:00,0.0%,better,Low,Revised Business Investment q/q,0.0%,,51
87,,CHF,2007-12-18 11:00:00,,,Medium,Gov Board Member Jordan Speaks,,,51
88,,CHF,2007-12-18 12:30:00,,,Low,Gov Board Member Hildebrand Speaks,,,51
89,0.4%,NZD,2007-12-18 16:45:00,,,Low,FPI m/m,0.6%,,51
90,2.8%,NZD,2007-12-18 16:45:00,,,Low,Visitor Arrivals m/m,-2.5%,,51
91,0.5%,AUD,2007-12-18 18:30:00,,,Low,MI Leading Index m/m,0.6%,worse,51
92,1.2%,JPY,2007-12-18 18:50:00,1.0%,better,Low,All Industries Activity m/m,-1.7%,,51
93,0.8%,EUR,2007-12-19 02:00:00,0.4%,better,Low,German PPI m/m,0.4%,,51
94,,EUR,2007-12-19 04:00:00,,,High,ECB President Trichet Speaks,,,51
95,103.0,EUR,2007-12-19 04:00:00,103.8,worse,High,German Ifo Business Climate,104.2,,51
96,0-9-0,GBP,2007-12-19 04:30:00,0-7-2,worse,High,MPC Official Bank Rate Votes,0-2-7,,51
97,8,GBP,2007-12-19 06:00:00,10,worse,Medium,CBI Realized Sales,13,,51
98,110.0,NZD,2007-12-19 07:00:00,,,Low,Westpac Consumer Sentiment,113.5,,51
99,0.5%,CAD,2007-12-19 08:30:00,0.2%,better,Medium,Wholesale Sales m/m,0.2%,worse,51
100,-7.6M,USD,2007-12-19 10:30:00,-1.5M,,Low,Crude Oil Inventories,-0.7M,,51
101,,CHF,2007-12-19 12:15:00,,,Medium,SNB Chairman Roth Speaks,,,51
102,,USD,2007-12-19 16:00:00,,,Medium,Treasury Currency Report,,,51
103,-5.17B,NZD,2007-12-19 16:45:00,-4.92B,worse,High,Current Account,-2.99B,,51
