,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,,JPY,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
3,,CNY,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
4,,NZD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
5,,AUD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,CHF,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,,EUR,2017-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
8,,EUR,2017-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
9,,EUR,2017-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
10,,GBP,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,CAD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,,USD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,,NZD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
14,,AUD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
15,1.7%,JPY,2017-12-25 18:30:00,0.6%,better,Low,Household Spending y/y,0.0%,,52
16,0.9%,JPY,2017-12-25 18:30:00,0.8%,better,Low,National Core CPI y/y,0.8%,,52
17,0.8%,JPY,2017-12-25 18:30:00,0.7%,better,Low,Tokyo Core CPI y/y,0.6%,,52
18,2.7%,JPY,2017-12-25 18:30:00,2.8%,better,Low,Unemployment Rate,2.8%,,52
19,,JPY,2017-12-25 18:50:00,,,Low,Monetary Policy Meeting Minutes,,,52
20,0.8%,JPY,2017-12-25 18:50:00,0.8%,,Low,SPPI y/y,0.8%,,52
21,,JPY,2017-12-25 23:00:00,,,High,BOJ Gov Kuroda Speaks,,,52
22,,CHF,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
23,,EUR,2017-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
24,,EUR,2017-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
25,,GBP,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
26,,CAD,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
27,6.4%,USD,2017-12-26 09:00:00,6.3%,,Low,S&P/CS Composite-20 HPI y/y,6.2%,,52
28,20,USD,2017-12-26 09:59:00,22,worse,Low,Richmond Manufacturing Index,30,,52
29,-0.4%,JPY,2017-12-27 00:00:00,-2.5%,better,Low,Housing Starts y/y,-4.8%,,52
30,1.67,CHF,2017-12-27 02:00:00,,,Medium,UBS Consumption Indicator,1.68,better,52
31,52.0,CHF,2017-12-27 04:00:00,,,Medium,Credit Suisse Economic Expectations,40.7,,52
32,122.1,USD,2017-12-27 10:00:00,128.2,worse,High,CB Consumer Confidence,128.6,worse,52
33,0.2%,USD,2017-12-27 10:00:00,-0.4%,better,Medium,Pending Home Sales m/m,3.5%,,52
34,,JPY,2017-12-27 18:50:00,,,Low,BOJ Summary of Opinions,,,52
35,0.6%,JPY,2017-12-27 18:50:00,0.5%,better,Low,Prelim Industrial Production m/m,0.5%,,52
36,2.2%,JPY,2017-12-27 18:50:00,1.1%,better,Low,Retail Sales y/y,-0.2%,,52
37,0.6%,JPY,2017-12-28 00:00:00,0.5%,better,Low,BOJ Core CPI y/y,0.5%,,52
38,,EUR,2017-12-28 04:00:00,,,Low,ECB Economic Bulletin,,,52
39,39.5K,GBP,2017-12-28 04:30:00,40.6K,worse,Low,High Street Lending,40.4K,,52
40,1.86|1.8,EUR,2017-12-28 05:22:00,,,Low,Italian 10-y Bond Auction,1.73|1.6,,52
41,245K,USD,2017-12-28 08:30:00,240K,worse,High,Unemployment Claims,245K,,52
42,-69.7B,USD,2017-12-28 08:30:00,-67.7B,worse,Low,Goods Trade Balance,-68.1B,,52
43,0.7%,USD,2017-12-28 08:30:00,0.4%,worse,Low,Prelim Wholesale Inventories m/m,-0.5%,better,52
44,67.6,USD,2017-12-28 09:45:00,62.2,better,Medium,Chicago PMI,63.9,,52
45,-112B,USD,2017-12-28 10:30:00,-115B,,Low,Natural Gas Storage,-182B,,52
46,-4.6M,USD,2017-12-28 11:00:00,-3.9M,,High,Crude Oil Inventories,-6.5M,,52
47,0.5%,AUD,2017-12-28 19:30:00,0.4%,better,Low,Private Sector Credit m/m,0.4%,,52
48,0.6%,EUR,2017-12-29 00:00:00,0.5%,better,Medium,German Prelim CPI m/m,0.3%,,52
49,1.2%,EUR,2017-12-29 03:00:00,1.5%,worse,Medium,Spanish Flash CPI y/y,1.7%,better,52
50,4.9%,EUR,2017-12-29 04:00:00,4.9%,,Medium,M3 Money Supply y/y,5.0%,,52
51,2.8%,EUR,2017-12-29 04:00:00,2.8%,,Low,Private Loans y/y,2.7%,,52
52,51.6,CNY,2017-12-30 19:42:00,51.6,,Medium,Manufacturing PMI,51.8,,52
53,55.0,CNY,2017-12-30 19:42:00,,,Medium,Non-Manufacturing PMI,54.8,,52
54,0.36T,JPY,2017-12-17 18:50:00,0.27T,better,Low,Trade Balance,0.35T,,51
55,0.1%,AUD,2017-12-17 19:30:00,,,Low,New Motor Vehicle Sales m/m,0.0%,,51
56,,AUD,2017-12-17 20:06:00,,,Medium,Mid-Year Economic and Fiscal Outlook,,,51
57,4.95B,EUR,2017-12-18 04:00:00,3.23B,better,Low,Italian Trade Balance,3.99B,,51
58,1.5%,EUR,2017-12-18 05:00:00,1.5%,,Medium,Final CPI y/y,1.5%,,51
59,0.9%,EUR,2017-12-18 05:00:00,0.9%,,Low,Final Core CPI y/y,0.9%,,51
60,,EUR,2017-12-18 06:00:00,,,Low,German Buba Monthly Report,,,51
61,17,GBP,2017-12-18 06:00:00,14,better,Low,CBI Industrial Order Expectations,17,,51
62,20.81B,CAD,2017-12-18 08:30:00,18.02B,better,Medium,Foreign Securities Purchases,16.69B,,51
63,74,USD,2017-12-18 10:00:00,70,better,Low,NAHB Housing Market Index,69,worse,51
64,107.4,NZD,2017-12-18 16:00:00,,,Low,Westpac Consumer Sentiment,112.4,,51
65,-37.8,NZD,2017-12-18 19:00:00,,,High,ANZ Business Confidence,-39.3,,51
66,,AUD,2017-12-18 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
67,,CHF,2017-12-19 01:45:00,,,Low,SECO Economic Forecasts,,,51
68,117.2,EUR,2017-12-19 04:00:00,117.6,worse,Medium,German Ifo Business Climate,117.6,,51
69,1.30M,USD,2017-12-19 08:30:00,1.27M,better,High,Building Permits,1.32M,,51
70,-101B,USD,2017-12-19 08:30:00,-116B,better,Medium,Current Account,-124B,,51
71,1.30M,USD,2017-12-19 08:30:00,1.25M,better,Medium,Housing Starts,1.26M,worse,51
72,-3.9%,NZD,2017-12-19 09:18:00,,,Medium,GDT Price Index,0.4%,,51
73,0.3%,AUD,2017-12-19 10:32:00,,,Low,CB Leading Index m/m,0.2%,,51
74,,USD,2017-12-19 13:00:00,,,Medium,FOMC Member Kashkari Speaks,,,51
75,-4.68B,NZD,2017-12-19 16:45:00,-4.22B,worse,Medium,Current Account,-0.51B,,51
76,-1193M,NZD,2017-12-19 16:45:00,-495M,worse,Medium,Trade Balance,-843M,better,51
77,2.5%,NZD,2017-12-19 16:45:00,,,Low,Visitor Arrivals m/m,2.1%,better,51
78,0.1%,AUD,2017-12-19 18:30:00,,,Low,MI Leading Index m/m,0.1%,,51
79,9.1%,NZD,2017-12-19 21:00:00,,,Low,Credit Card Spending y/y,3.0%,,51
80,0.3%,JPY,2017-12-19 23:30:00,0.4%,,Low,All Industries Activity m/m,-0.5%,,51
81,0.1%,EUR,2017-12-20 02:00:00,0.2%,worse,Low,German PPI m/m,0.3%,,51
82,30.8B,EUR,2017-12-20 04:00:00,33.4B,worse,Low,Current Account,39.2B,better,51
83,20,GBP,2017-12-20 06:00:00,21,,Low,CBI Realized Sales,26,,51
84,,EUR,2017-12-20 08:00:00,,,Medium,German Buba President Weidmann Speaks,,,51
85,,GBP,2017-12-20 08:15:00,,,High,BOE Gov Carney Speaks,,,51
86,1.5%,CAD,2017-12-20 08:30:00,0.5%,better,Low,Wholesale Sales m/m,-1.1%,,51
87,,CHF,2017-12-20 09:00:00,,,Low,SNB Quarterly Bulletin,,,51
88,1.8%,CNY,2017-12-20 09:00:00,,,Low,CB Leading Index m/m,1.3%,,51
89,0.1,EUR,2017-12-20 09:00:00,2.0,worse,Low,Belgian NBB Business Climate,1.6,,51
90,5.81M,USD,2017-12-20 10:00:00,5.53M,better,Medium,Existing Home Sales,5.50M,,51
91,-6.5M,USD,2017-12-20 10:30:00,-3.6M,,High,Crude Oil Inventories,-5.1M,,51
92,,USD,2017-12-20 15:00:00,,,High,President Trump Speaks,,,51
93,0.6%,NZD,2017-12-20 16:45:00,0.6%,,High,GDP q/q,1.0%,better,51
94,-13,GBP,2017-12-20 18:05:00,-12,worse,Low,GfK Consumer Confidence,-12,,51
95,,JPY,2017-12-20 21:46:00,,,High,Monetary Policy Statement,,,51
96,-0.10%,JPY,2017-12-20 21:46:00,-0.10%,,Medium,BOJ Policy Rate,-0.10%,,51
97,,JPY,2017-12-21 01:30:00,,,High,BOJ Press Conference,,,51
98,2.63B,CHF,2017-12-21 02:00:00,2.84B,worse,Low,Trade Balance,2.45B,better,51
99,,All,2017-12-21 00:00:00,,,Medium,OPEC-JMMC Meetings,,,51
100,8.1B,GBP,2017-12-21 04:30:00,8.3B,,Medium,Public Sector Net Borrowing,7.2B,,51
101,0.3%,CAD,2017-12-21 08:30:00,0.2%,better,High,CPI m/m,0.1%,,51
102,0.8%,CAD,2017-12-21 08:30:00,0.4%,better,High,Core Retail Sales m/m,0.4%,better,51
103,1.5%,CAD,2017-12-21 08:30:00,,,Medium,Common CPI y/y,1.6%,,51
104,1.9%,CAD,2017-12-21 08:30:00,,,Medium,Median CPI y/y,1.7%,,51
105,1.5%,CAD,2017-12-21 08:30:00,0.3%,better,Medium,Retail Sales m/m,0.2%,better,51
106,1.8%,CAD,2017-12-21 08:30:00,,,Medium,Trimmed CPI y/y,1.5%,,51
