,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2015-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2015-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,-1.0%,JPY,2015-12-27 18:50:00,-0.1%,worse,Medium,Retail Sales y/y,1.8%,,52
3,-1.0%,JPY,2015-12-27 18:50:00,-0.4%,worse,Low,Prelim Industrial Production m/m,1.4%,,52
4,,GBP,2015-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
5,,CAD,2015-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,-60.5B,USD,2015-12-29 08:30:00,-60.9B,,Medium,Goods Trade Balance,-58.4B,,52
7,5.5%,USD,2015-12-29 09:00:00,5.6%,,Low,S&P/CS Composite-20 HPI y/y,5.4%,,52
8,96.5,USD,2015-12-29 10:00:00,93.9,better,High,CB Consumer Confidence,92.6,better,52
9,1.66,CHF,2015-12-30 02:00:00,,,Low,UBS Consumption Indicator,1.63,better,52
10,0.8%,GBP,2015-12-30 02:00:00,0.4%,better,Low,Nationwide HPI m/m,0.1%,,52
11,0.0%,EUR,2015-12-30 03:00:00,0.1%,worse,Medium,Spanish Flash CPI y/y,-0.3%,,52
12,5.1%,EUR,2015-12-30 04:00:00,5.2%,,Medium,M3 Money Supply y/y,5.3%,,52
13,1.4%,EUR,2015-12-30 04:00:00,1.3%,better,Low,Private Loans y/y,1.2%,,52
14,1.59|1.3,EUR,2015-12-30 05:19:00,,,Low,Italian 10-y Bond Auction,1.36|1.7,,52
15,-0.9%,USD,2015-12-30 10:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.4%,better,52
16,2.6M,USD,2015-12-30 10:30:00,-1.8M,,Medium,Crude Oil Inventories,-5.9M,,52
17,,JPY,2015-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
18,0.4%,AUD,2015-12-30 19:30:00,0.6%,worse,Low,Private Sector Credit m/m,0.7%,,52
