,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2011-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2011-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,,CHF,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
3,,EUR,2011-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
4,,EUR,2011-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
5,,GBP,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,CAD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,,USD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
8,,NZD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
9,,AUD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,,JPY,2011-12-26 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
11,-0.2%,JPY,2011-12-26 18:50:00,0.1%,worse,Low,SPPI y/y,0.1%,,52
12,-0.3%,JPY,2011-12-27 00:00:00,-4.8%,better,Low,Housing Starts y/y,-5.8%,,52
13,0.81,CHF,2011-12-27 02:00:00,,,Medium,UBS Consumption Indicator,0.90,,52
14,,GBP,2011-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
15,,CAD,2011-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
16,-3.4%,USD,2011-12-27 09:00:00,-3.2%,worse,Medium,S&P/CS Composite-20 HPI y/y,-3.5%,,52
17,3,USD,2011-12-27 09:59:00,6,worse,Low,Richmond Manufacturing Index,0,,52
18,64.5,USD,2011-12-27 10:00:00,58.5,better,High,CB Consumer Confidence,55.2,worse,52
19,,USD,2011-12-27 16:00:00,,,Medium,Treasury Currency Report,,,52
20,-3.2%,JPY,2011-12-27 18:30:00,-1.1%,worse,Medium,Household Spending y/y,-0.4%,,52
