,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,NZD,2016-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,AUD,2016-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
2,,JPY,2016-12-25 18:50:00,,,Low,Monetary Policy Meeting Minutes,,,52
3,0.3%,JPY,2016-12-25 18:50:00,0.5%,worse,Low,SPPI y/y,0.5%,,52
4,,CHF,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
5,,EUR,2016-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
6,,EUR,2016-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
7,,GBP,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
8,,CAD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
9,,USD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,,NZD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,AUD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,-1.5%,JPY,2016-12-26 18:30:00,0.2%,worse,Medium,Household Spending y/y,-0.4%,,52
13,-0.6%,JPY,2016-12-26 18:30:00,-0.4%,worse,Medium,Tokyo Core CPI y/y,-0.4%,,52
14,-0.4%,JPY,2016-12-26 18:30:00,-0.3%,worse,Low,National Core CPI y/y,-0.4%,,52
15,3.1%,JPY,2016-12-26 18:30:00,3.0%,worse,Low,Unemployment Rate,3.0%,,52
16,0.2%,JPY,2016-12-27 00:00:00,0.2%,,Low,BOJ Core CPI y/y,0.3%,,52
17,6.7%,JPY,2016-12-27 00:00:00,9.6%,worse,Low,Housing Starts y/y,13.7%,,52
18,,GBP,2016-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
19,,CAD,2016-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,5.1%,USD,2016-12-27 09:00:00,5.0%,,Low,S&P/CS Composite-20 HPI y/y,5.0%,,52
21,8,USD,2016-12-27 09:59:00,5,better,Low,Richmond Manufacturing Index,4,,52
22,113.7,USD,2016-12-27 10:00:00,108.9,better,High,CB Consumer Confidence,109.4,better,52
23,1.5%,JPY,2016-12-27 18:50:00,1.8%,worse,Low,Prelim Industrial Production m/m,0.0%,worse,52
24,1.7%,JPY,2016-12-27 18:50:00,0.9%,better,Low,Retail Sales y/y,-0.2%,,52
25,1.43,CHF,2016-12-28 02:00:00,,,Low,UBS Consumption Indicator,1.39,worse,52
26,40.7K,GBP,2016-12-28 04:30:00,41.6K,worse,Low,High Street Lending,40.8K,,52
27,-2.5%,USD,2016-12-28 10:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.1%,,52
28,,JPY,2016-12-28 18:50:00,,,Low,BOJ Summary of Opinions,,,52
29,0.8%,GBP,2016-12-29 02:00:00,0.2%,better,Low,Nationwide HPI m/m,0.0%,,52
30,4.8%,EUR,2016-12-29 04:00:00,4.4%,better,Medium,M3 Money Supply y/y,4.4%,,52
31,1.9%,EUR,2016-12-29 04:00:00,1.9%,,Low,Private Loans y/y,1.8%,,52
32,1.77|1.4,EUR,2016-12-29 05:17:00,,,Low,Italian 10-y Bond Auction,1.97|1.6,,52
33,265K,USD,2016-12-29 08:30:00,277K,better,High,Unemployment Claims,275K,,52
34,-65.3B,USD,2016-12-29 08:30:00,-61.5B,worse,Low,Goods Trade Balance,-61.9B,,52
35,0.9%,USD,2016-12-29 08:30:00,0.1%,worse,Low,Prelim Wholesale Inventories m/m,-0.1%,worse,52
36,-237B,USD,2016-12-29 10:30:00,-219B,,Low,Natural Gas Storage,-209B,,52
37,0.6M,USD,2016-12-29 11:00:00,-1.3M,,High,Crude Oil Inventories,2.3M,,52
38,0.5%,AUD,2016-12-29 19:30:00,0.5%,,Low,Private Sector Credit m/m,0.5%,,52
39,1.5%,EUR,2016-12-30 03:00:00,0.9%,better,Medium,Spanish Flash CPI y/y,0.7%,,52
40,-10.9B,GBP,2016-12-30 04:30:00,-11.1B,,Low,Housing Equity Withdrawal q/q,-13.1B,worse,52
41,54.6,USD,2016-12-30 09:45:00,56.5,worse,Medium,Chicago PMI,57.6,,52
42,51.4,CNY,2016-12-31 20:00:00,51.6,,High,Manufacturing PMI,51.7,,52
43,54.5,CNY,2016-12-31 20:00:00,,,Medium,Non-Manufacturing PMI,54.7,,52
44,113.1,NZD,2016-12-18 16:00:00,,,Low,Westpac Consumer Sentiment,108.0,,51
45,2.6%,NZD,2016-12-18 16:45:00,,,Low,Building Consents m/m,-0.2%,worse,51
46,0.54T,JPY,2016-12-18 18:50:00,0.59T,worse,Low,Trade Balance,0.47T,,51
47,21.7,NZD,2016-12-18 18:58:00,,,Medium,ANZ Business Confidence,20.5,,51
48,,AUD,2016-12-18 19:30:00,,,High,Mid-Year Economic and Fiscal Outlook,,,51
49,111.0,EUR,2016-12-19 04:00:00,110.7,better,High,German Ifo Business Climate,110.4,,51
50,,EUR,2016-12-19 06:00:00,,,Low,German Buba Monthly Report,,,51
51,53.4,USD,2016-12-19 09:45:00,55.2,worse,Low,Flash Services PMI,54.6,,51
52,-0.4%,AUD,2016-12-19 10:33:00,,,Low,CB Leading Index m/m,0.5%,,51
53,,EUR,2016-12-19 11:00:00,,,Medium,German Buba President Weidmann Speaks,,,51
54,,USD,2016-12-19 13:30:00,,,High,Fed Chair Yellen Speaks,,,51
55,-0.1%,NZD,2016-12-19 16:45:00,,,Low,FPI m/m,-0.8%,,51
56,,AUD,2016-12-19 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
57,-0.10%,JPY,2016-12-19 21:51:00,-0.10%,,High,BOJ Policy Rate,-0.10%,,51
58,,JPY,2016-12-19 21:51:00,,,High,Monetary Policy Statement,,,51
59,,JPY,2016-12-20 01:30:00,,,High,BOJ Press Conference,,,51
60,3.64B,CHF,2016-12-20 02:00:00,3.57B,better,Low,Trade Balance,2.66B,,51
61,0.3%,EUR,2016-12-20 02:00:00,0.1%,better,Low,German PPI m/m,0.7%,,51
62,28.4B,EUR,2016-12-20 04:00:00,24.2B,better,Low,Current Account,27.7B,better,51
63,35,GBP,2016-12-20 06:00:00,20,better,Low,CBI Realized Sales,26,,51
