,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2011-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2011-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,,CHF,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
3,,EUR,2011-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
4,,EUR,2011-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
5,,GBP,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,,CAD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,,USD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,,NZD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
9,,AUD,2011-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,,JPY,2011-12-26 00:00:00,,,Medium,Monetary Policy Meeting Minutes,,,7:50pm
11,-0.2%,JPY,2011-12-26 00:00:00,0.1%,worse,Low,SPPI y/y,0.1%,,7:50pm
12,-0.3%,JPY,2011-12-27 00:00:00,-4.8%,better,Low,Housing Starts y/y,-5.8%,,1:00am
13,0.81,CHF,2011-12-27 00:00:00,,,Medium,UBS Consumption Indicator,0.90,,3:00am
14,,GBP,2011-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
15,,CAD,2011-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
16,-3.4%,USD,2011-12-27 00:00:00,-3.2%,worse,Medium,S&P/CS Composite-20 HPI y/y,-3.5%,,10:00am
17,3,USD,2011-12-27 00:00:00,6,worse,Low,Richmond Manufacturing Index,0,,10:59am
18,64.5,USD,2011-12-27 00:00:00,58.5,better,High,CB Consumer Confidence,55.2,worse,11:00am
19,,USD,2011-12-27 00:00:00,,,Medium,Treasury Currency Report,,,5:00pm
20,-3.2%,JPY,2011-12-27 00:00:00,-1.1%,worse,Medium,Household Spending y/y,-0.4%,,7:30pm
21,-0.3%,JPY,2011-12-27 00:00:00,-0.4%,better,Medium,Tokyo Core CPI y/y,-0.5%,,7:30pm
22,-0.2%,JPY,2011-12-27 00:00:00,-0.2%,,Low,National Core CPI y/y,-0.1%,,7:30pm
23,4.5%,JPY,2011-12-27 00:00:00,4.5%,,Low,Unemployment Rate,4.5%,,7:30pm
24,-2.6%,JPY,2011-12-27 00:00:00,-0.7%,worse,Medium,Prelim Industrial Production m/m,2.2%,worse,7:50pm
25,-2.3%,JPY,2011-12-27 00:00:00,0.1%,worse,Medium,Retail Sales y/y,1.9%,,7:50pm
26,-1.0%,JPY,2011-12-27 00:00:00,0.1%,worse,Medium,Average Cash Earnings y/y,0.0%,worse,9:30pm
27,0.01,CHF,2011-12-28 00:00:00,0.25,worse,High,KOF Economic Barometer,0.34,,6:30am
28,0.7%,EUR,2011-12-29 00:00:00,0.8%,worse,Medium,German Prelim CPI m/m,0.0%,,12:00am
29,2.0%,EUR,2011-12-29 00:00:00,2.5%,worse,Medium,M3 Money Supply y/y,2.6%,,5:00am
30,1.7%,EUR,2011-12-29 00:00:00,2.7%,worse,Low,Private Loans y/y,2.7%,,5:00am
31,6.98|1.4,EUR,2011-12-29 00:00:00,,,Medium,Italian 10-y Bond Auction,7.56|1.3,,6:32am
32,381K,USD,2011-12-29 00:00:00,372K,worse,High,Unemployment Claims,366K,,9:30am
33,62.5,USD,2011-12-29 00:00:00,60.4,better,Medium,Chicago PMI,62.6,,10:45am
34,7.3%,USD,2011-12-29 00:00:00,1.7%,better,High,Pending Home Sales m/m,10.4%,,11:00am
35,-81B,USD,2011-12-29 00:00:00,-88B,,Low,Natural Gas Storage,-100B,,11:30am
36,3.9M,USD,2011-12-29 00:00:00,-2.9M,,Medium,Crude Oil Inventories,-10.6M,,12:00pm
37,50.2,JPY,2011-12-29 00:00:00,,,Low,Final Manufacturing PMI,49.1,,7:15pm
38,0.3%,AUD,2011-12-29 00:00:00,0.3%,,Medium,Private Sector Credit m/m,0.2%,,8:30pm
