,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2009-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2009-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,2.6%,JPY,2009-12-27 00:00:00,2.5%,better,Medium,Prelim Industrial Production m/m,0.5%,,7:50pm
3,-1.0%,JPY,2009-12-27 00:00:00,-1.1%,,Medium,Retail Sales y/y,-1.0%,,7:50pm
4,-2.8%,JPY,2009-12-27 00:00:00,-1.8%,worse,Medium,Average Cash Earnings y/y,-1.9%,worse,9:30pm
5,,GBP,2009-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,,CAD,2009-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,1.28,CHF,2009-12-29 00:00:00,,,Medium,UBS Consumption Indicator,0.88,,3:00am
8,0.7%,EUR,2009-12-29 00:00:00,0.6%,better,Medium,German Prelim CPI m/m,-0.1%,better,12:00am
9,-4.9B,GBP,2009-12-29 00:00:00,-6.3B,better,Low,Housing Equity Withdrawal q/q,-6.9B,,5:30am
10,-7.3%,USD,2009-12-29 00:00:00,-7.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,-9.3%,,10:00am
11,52.9,USD,2009-12-29 00:00:00,53.0,,High,CB Consumer Confidence,50.6,better,11:00am
12,53.8,JPY,2009-12-29 00:00:00,,,Low,Final Manufacturing PMI,52.3,,7:15pm
13,-0.2%,EUR,2009-12-30 00:00:00,0.4%,worse,Medium,M3 Money Supply y/y,0.3%,,5:00am
14,-0.7%,EUR,2009-12-30 00:00:00,-0.8%,better,Low,Private Loans y/y,-0.8%,,5:00am
15,50.3,EUR,2009-12-30 00:00:00,,,Low,Retail PMI,48.9,,5:00am
16,4.07|1.5,EUR,2009-12-30 00:00:00,,,Low,Italian 10-y Bond Auction,4.01|1.6,,6:29am
17,1.68,CHF,2009-12-30 00:00:00,1.73,,High,KOF Economic Barometer,1.62,,6:30am
18,60.0,USD,2009-12-30 00:00:00,55.2,better,High,Chicago PMI,56.1,,10:45am
19,-1.5M,USD,2009-12-30 00:00:00,-1.7M,,Medium,Crude Oil Inventories,-4.9M,,11:30am
20,,JPY,2009-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
21,0.1%,AUD,2009-12-30 00:00:00,0.1%,,Medium,Private Sector Credit m/m,-0.1%,worse,8:30pm
22,,EUR,2009-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
23,0.4%,GBP,2009-12-31 00:00:00,0.4%,,High,Nationwide HPI m/m,0.5%,,3:00am
24,,GBP,2009-12-31 00:00:00,,,Medium,BOE Credit Conditions Survey,,,5:30am
25,432K,USD,2009-12-31 00:00:00,460K,better,High,Unemployment Claims,454K,,9:30am
26,-124B,USD,2009-12-31 00:00:00,-143B,,Low,Natural Gas Storage,-166B,,11:30am
27,,NZD,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
28,,AUD,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
29,,CNY,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
30,,JPY,2009-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
31,56.6,CNY,2009-12-31 00:00:00,55.4,better,High,Manufacturing PMI,55.2,,9:00pm
32,,CHF,2009-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
33,,EUR,2009-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
34,,EUR,2009-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
35,,EUR,2009-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
36,,GBP,2009-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
37,,CAD,2009-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
38,,USD,2009-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
39,57.5,CNY,2009-01-02 00:00:00,,,Low,Non-Manufacturing PMI,52.3,,9:00pm
40,-3.7%,NZD,2009-12-20 00:00:00,,,Low,Visitor Arrivals m/m,-0.7%,,5:45pm
41,0.49T,JPY,2009-12-20 00:00:00,0.27T,better,Medium,Trade Balance,0.46T,,7:50pm
42,5.5%,AUD,2009-12-20 00:00:00,,,Low,New Motor Vehicle Sales m/m,3.3%,worse,8:30pm
43,1.6%,NZD,2009-12-20 00:00:00,,,Low,Credit Card Spending y/y,-0.3%,,10:00pm
44,1.2%,JPY,2009-12-21 00:00:00,1.1%,,Low,All Industries Activity m/m,-0.7%,,12:37am
45,,JPY,2009-12-21 00:00:00,,,Medium,BOJ Monthly Report,,,1:00am
