,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2010-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2010-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,,JPY,2010-12-26 00:00:00,,,Medium,Monetary Policy Meeting Minutes,,,7:50pm
3,,JPY,2010-12-26 00:00:00,,,Medium,Monetary Policy Meeting Minutes,,,7:50pm
4,-1.1%,JPY,2010-12-26 00:00:00,-1.1%,,Low,SPPI y/y,-1.3%,worse,7:50pm
5,6.8%,JPY,2010-12-27 00:00:00,5.0%,better,Low,Housing Starts y/y,6.4%,,1:00am
6,,GBP,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
7,,CAD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,,NZD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
9,,AUD,2010-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,-0.4%,JPY,2010-12-27 00:00:00,0.4%,worse,Medium,Household Spending y/y,-0.4%,,7:30pm
11,-0.4%,JPY,2010-12-27 00:00:00,-0.4%,,Medium,Tokyo Core CPI y/y,-0.5%,,7:30pm
12,-0.5%,JPY,2010-12-27 00:00:00,-0.5%,,Low,National Core CPI y/y,-0.6%,,7:30pm
13,5.1%,JPY,2010-12-27 00:00:00,5.1%,,Low,Unemployment Rate,5.1%,,7:30pm
14,1.0%,JPY,2010-12-27 00:00:00,1.0%,,Medium,Prelim Industrial Production m/m,-2.0%,worse,7:50pm
15,1.3%,JPY,2010-12-27 00:00:00,0.4%,better,Medium,Retail Sales y/y,-0.2%,,7:50pm
16,-0.2%,JPY,2010-12-27 00:00:00,0.6%,worse,Medium,Average Cash Earnings y/y,0.5%,worse,9:30pm
17,1.63,CHF,2010-12-28 00:00:00,,,Medium,UBS Consumption Indicator,1.71,,3:00am
18,,GBP,2010-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
19,,CAD,2010-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,-0.8%,USD,2010-12-28 00:00:00,-0.1%,worse,Medium,S&P/CS Composite-20 HPI y/y,0.4%,worse,10:00am
21,25,USD,2010-12-28 00:00:00,11,better,Low,Richmond Manufacturing Index,9,,10:59am
22,52.5,USD,2010-12-28 00:00:00,56.2,worse,High,CB Consumer Confidence,54.3,,11:00am
23,1.0%,EUR,2010-12-29 00:00:00,0.8%,better,Medium,German Prelim CPI m/m,0.1%,,12:00am
24,1.9%,EUR,2010-12-29 00:00:00,1.6%,better,Medium,M3 Money Supply y/y,0.9%,,5:00am
25,2.0%,EUR,2010-12-29 00:00:00,1.7%,better,Low,Private Loans y/y,1.5%,better,5:00am
26,-6.1B,GBP,2010-12-29 00:00:00,-5.5B,worse,Low,Housing Equity Withdrawal q/q,-5.8B,better,5:30am
27,2.10,CHF,2010-12-29 00:00:00,2.07,,High,KOF Economic Barometer,2.13,,6:30am
28,48.3,JPY,2010-12-29 00:00:00,,,Low,Final Manufacturing PMI,47.3,,7:15pm
29,54.4,CNY,2010-12-29 00:00:00,,,Medium,Caixin Manufacturing PMI,55.3,,10:30pm
30,52.9,EUR,2010-12-30 00:00:00,,,Low,Retail PMI,51.3,,5:00am
31,4.80|1.3,EUR,2010-12-30 00:00:00,,,Medium,Italian 10-y Bond Auction,4.43|1.3,,6:32am
32,388K,USD,2010-12-30 00:00:00,416K,better,High,Unemployment Claims,422K,,9:30am
33,68.6,USD,2010-12-30 00:00:00,61.2,better,Medium,Chicago PMI,62.5,,10:45am
34,3.5%,USD,2010-12-30 00:00:00,1.8%,better,High,Pending Home Sales m/m,10.1%,worse,11:00am
35,-136B,USD,2010-12-30 00:00:00,-171B,,Low,Natural Gas Storage,-184B,,11:30am
36,-1.3M,USD,2010-12-30 00:00:00,-2.8M,,Medium,Crude Oil Inventories,-5.3M,,12:00pm
37,,JPY,2010-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
38,0.3%,AUD,2010-12-30 00:00:00,0.2%,better,Medium,Private Sector Credit m/m,0.1%,,8:30pm
39,,EUR,2010-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
40,0.4%,GBP,2010-12-31 00:00:00,-0.2%,better,High,Nationwide HPI m/m,-0.3%,,3:00am
41,53.9,CNY,2010-12-31 00:00:00,55.7,worse,High,Manufacturing PMI,55.2,,9:00pm
42,0.2%,EUR,2010-12-20 00:00:00,0.4%,worse,Medium,German PPI m/m,0.4%,,3:00am
43,-9.8B,EUR,2010-12-20 00:00:00,-6.2B,worse,Medium,Current Account,-9.7B,better,5:00am
44,45K,GBP,2010-12-20 00:00:00,47K,worse,Medium,Prelim Mortgage Approvals,44K,,5:34am
45,,EUR,2010-12-20 00:00:00,,,Low,German Buba Monthly Report,,,7:00am
46,0.0%,CAD,2010-12-20 00:00:00,0.8%,worse,Medium,Wholesale Sales m/m,0.7%,better,9:30am
47,-11,EUR,2010-12-20 00:00:00,-9,worse,Low,Consumer Confidence,-10,,11:00am
48,0.5%,NZD,2010-12-20 00:00:00,,,Low,Visitor Arrivals m/m,-1.7%,better,5:45pm
49,0.6%,AUD,2010-12-20 00:00:00,,,Medium,CB Leading Index m/m,-0.2%,worse,7:00pm
50,-21,GBP,2010-12-20 00:00:00,-21,,Medium,GfK Consumer Confidence,-21,,8:00pm
