,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,-5.7B,GBP,2008-12-29 00:00:00,-3.3B,worse,Medium,Housing Equity Withdrawal q/q,-2.0B,better,5:30am
1,-0.39,CHF,2008-12-29 00:00:00,-0.26,,Medium,KOF Economic Barometer,-0.04,,6:30am
2,0.3%,EUR,2008-12-30 00:00:00,0.4%,worse,Medium,German Prelim CPI m/m,-0.5%,,12:00am
3,0.96,CHF,2008-12-30 00:00:00,,,Medium,UBS Consumption Indicator,1.30,worse,5:00am
4,7.8%,EUR,2008-12-30 00:00:00,8.5%,worse,Low,M3 Money Supply y/y,8.7%,,5:00am
5,7.1%,EUR,2008-12-30 00:00:00,7.5%,worse,Low,Private Loans y/y,7.8%,,5:00am
6,41.4,EUR,2008-12-30 00:00:00,,,Low,Retail PMI,40.6,,5:00am
7,-18.0%,USD,2008-12-30 00:00:00,-17.8%,worse,Low,S&P/CS Composite-20 HPI y/y,-17.4%,,10:00am
8,34.1,USD,2008-12-30 00:00:00,33.0,better,Medium,Chicago PMI,33.8,,10:45am
9,38.0,USD,2008-12-30 00:00:00,45.2,worse,High,CB Consumer Confidence,44.7,,11:00am
10,,JPY,2008-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
11,0.4%,AUD,2008-12-30 00:00:00,0.5%,worse,Medium,Private Sector Credit m/m,0.6%,,8:30pm
12,,EUR,2008-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
13,492K,USD,2008-12-31 00:00:00,575K,better,High,Unemployment Claims,586K,,9:30am
14,0.5M,USD,2008-12-31 00:00:00,-1.4M,,Medium,Crude Oil Inventories,-3.1M,,11:35am
15,-143B,USD,2008-12-31 00:00:00,-151B,,Low,Natural Gas Storage,-147B,,1:00pm
16,,EUR,2008-12-31 00:00:00,,,Medium,ECB President Trichet Speaks,,,3:00pm
17,,NZD,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
18,,AUD,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
19,,CNY,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,,JPY,2008-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
21,,CHF,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
22,,EUR,2008-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
23,,EUR,2008-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
24,,EUR,2008-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
25,,GBP,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
26,,CAD,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
27,,USD,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
28,,NZD,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
29,33.7,AUD,2008-01-01 00:00:00,,,Low,AIG Manufacturing Index,32.7,,6:30pm
30,,CNY,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
31,,JPY,2008-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
32,41.2,CNY,2008-01-01 00:00:00,,,Medium,Caixin Manufacturing PMI,40.9,,10:30pm
33,34.3%,AUD,2008-01-02 00:00:00,,,Medium,Commodity Prices y/y,37.1%,better,1:30am
34,,CHF,2008-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
35,28.5,EUR,2008-01-02 00:00:00,,,Low,Spanish Manufacturing PMI,29.4,,4:15am
36,35.5,EUR,2008-01-02 00:00:00,33.9,better,Low,Italian Manufacturing PMI,34.9,,4:45am
37,34.9,EUR,2008-01-02 00:00:00,35.8,worse,Low,French Final Manufacturing PMI,35.9,,4:50am
38,32.7,EUR,2008-01-02 00:00:00,33.4,worse,Low,German Final Manufacturing PMI,33.5,,4:55am
39,33.9,EUR,2008-01-02 00:00:00,34.5,worse,Medium,Final Manufacturing PMI,34.5,,5:00am
40,34.9,GBP,2008-01-02 00:00:00,33.5,better,High,Manufacturing PMI,34.5,,5:30am
41,,GBP,2008-01-02 00:00:00,,,Medium,BOE Credit Conditions Survey,,,5:30am
42,1.5B,GBP,2008-01-02 00:00:00,1.1B,better,Medium,Net Lending to Individuals m/m,1.2B,,5:30am
43,27K,GBP,2008-01-02 00:00:00,33K,worse,Low,Mortgage Approvals,31K,,5:30am
44,-2.2%,GBP,2008-01-02 00:00:00,-1.6%,worse,High,Halifax HPI m/m,-2.7%,,6:00am
45,32.4,USD,2008-01-02 00:00:00,35.5,worse,High,ISM Manufacturing PMI,36.2,,11:00am
46,18.0,USD,2008-01-02 00:00:00,20.5,worse,Low,ISM Manufacturing Prices,25.5,,11:00am
47,48.9,CNY,2008-01-02 00:00:00,,,Low,Non-Manufacturing PMI,45.4,,9:00pm
48,,USD,2008-01-03 00:00:00,,,Medium,FOMC Member Evans Speaks,,,6:30pm
49,,USD,2008-01-03 00:00:00,,,Medium,FOMC Member Kroszner Speaks,,,6:30pm
50,41.2,CNY,2008-01-03 00:00:00,,,High,Manufacturing PMI,38.8,,9:00pm
51,,CAD,2008-12-21 00:00:00,,,Low,BOC Financial System Review,,,11:30am
52,-5.99B,NZD,2008-12-21 00:00:00,-6.00B,,High,Current Account,-3.93B,,5:45pm
53,-0.37T,JPY,2008-12-21 00:00:00,-0.22T,worse,Low,Trade Balance,-0.25T,worse,7:50pm
54,-5.2%,AUD,2008-12-21 00:00:00,,,Low,New Motor Vehicle Sales m/m,-0.5%,,8:30pm
55,101.3,NZD,2008-12-21 00:00:00,,,Low,Westpac Consumer Sentiment,104.8,,9:00pm
56,,JPY,2008-12-22 00:00:00,,,Medium,BOJ Gov Shirakawa Speaks,,,1:00am
57,,JPY,2008-12-22 00:00:00,,,Medium,BOJ Monthly Report,,,1:00am
58,2.1,EUR,2008-12-22 00:00:00,2.1,,Medium,German GfK Consumer Climate,2.1,,3:00am
59,-3.4%,EUR,2008-12-22 00:00:00,-2.6%,worse,Low,German Import Prices m/m,-3.6%,,3:00am
60,,JPY,2008-12-22 00:00:00,,,Low,BOJ Gov Shirakawa Speaks,,,5:30am
61,-4.7%,EUR,2008-12-22 00:00:00,-4.0%,worse,Medium,Industrial New Orders m/m,-5.4%,worse,6:00am
62,-31.3,EUR,2008-12-22 00:00:00,-26.5,worse,Medium,Belgian NBB Business Climate,-23.7,,10:00am
63,-0.4%,NZD,2008-12-22 00:00:00,-0.5%,better,High,GDP q/q,-0.2%,,5:45pm
64,-0.5%,AUD,2008-12-22 00:00:00,,,Medium,CB Leading Index m/m,-0.4%,worse,7:00pm
65,,JPY,2008-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
66,0.3%,EUR,2008-12-23 00:00:00,-0.1%,better,Medium,French Consumer Spending m/m,-0.5%,worse,3:45am
67,-6.4B,EUR,2008-12-23 00:00:00,-7.3B,better,Medium,Current Account,-8.8B,better,5:00am
68,-0.3%,EUR,2008-12-23 00:00:00,-0.4%,better,Low,Italian Retail Sales m/m,0.2%,better,5:00am
69,-7.7B,GBP,2008-12-23 00:00:00,-11.9B,better,High,Current Account,-6.4B,better,5:30am
70,17.8K,GBP,2008-12-23 00:00:00,21.0K,worse,Medium,High Street Lending,20.8K,worse,5:30am
71,-0.6%,GBP,2008-12-23 00:00:00,-0.5%,worse,Low,Final GDP q/q,-0.5%,,5:30am
72,-0.2%,GBP,2008-12-23 00:00:00,-0.6%,better,Low,Index of Services 3m/3m,-0.5%,worse,5:30am
73,-0.5%,USD,2008-12-23 00:00:00,-0.5%,,Medium,Final GDP q/q,-0.5%,,9:30am
74,3.9%,USD,2008-12-23 00:00:00,4.2%,worse,Low,Final GDP Price Index q/q,4.2%,,9:30am
75,60.1,USD,2008-12-23 00:00:00,58.5,better,Medium,Revised UoM Consumer Sentiment,59.1,,10:55am
76,1.7%,USD,2008-12-23 00:00:00,,,Low,Revised UoM Inflation Expectations,1.7%,,10:55am
77,4.49M,USD,2008-12-23 00:00:00,4.90M,worse,High,Existing Home Sales,4.91M,worse,11:00am
78,407K,USD,2008-12-23 00:00:00,417K,worse,High,New Home Sales,419K,worse,11:00am
79,-55,USD,2008-12-23 00:00:00,-40,worse,Low,Richmond Manufacturing Index,-38,,11:00am
80,-1.1%,USD,2008-12-23 00:00:00,-1.3%,better,Low,HPI m/m,-1.3%,,11:02am
81,,EUR,2008-12-23 00:00:00,,,Medium,ECB President Trichet Speaks,,,1:30pm
82,-44.5,JPY,2008-12-23 00:00:00,-12.0,worse,Medium,BSI Manufacturing Index,-10.0,,7:50pm
83,,EUR,2008-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
84,,CHF,2008-12-24 00:00:00,,,Low,SNB Quarterly Bulletin,,,4:00am
85,-0.1%,CAD,2008-12-24 00:00:00,-0.3%,better,High,GDP m/m,0.1%,,9:30am
86,1.2%,USD,2008-12-24 00:00:00,-3.0%,better,High,Core Durable Goods Orders m/m,-6.8%,worse,9:30am
87,586K,USD,2008-12-24 00:00:00,552K,worse,High,Unemployment Claims,556K,,9:30am
88,0.0%,USD,2008-12-24 00:00:00,0.0%,,Medium,Core PCE Price Index m/m,0.0%,,9:30am
89,-1.0%,USD,2008-12-24 00:00:00,-3.2%,better,Medium,Durable Goods Orders m/m,-8.4%,worse,9:30am
90,-0.6%,USD,2008-12-24 00:00:00,-0.8%,better,Medium,Personal Spending m/m,-1.0%,,9:30am
91,-0.2%,USD,2008-12-24 00:00:00,0.1%,worse,Low,Personal Income m/m,0.1%,worse,9:30am
