,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2016-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2016-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,,JPY,2016-12-25 00:00:00,,,Low,Monetary Policy Meeting Minutes,,,7:50pm
3,0.3%,JPY,2016-12-25 00:00:00,0.5%,worse,Low,SPPI y/y,0.5%,,7:50pm
4,,CHF,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,,EUR,2016-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
6,,EUR,2016-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
7,,GBP,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
8,,CAD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
9,,USD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,,NZD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
11,,AUD,2016-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
12,-1.5%,JPY,2016-12-26 00:00:00,0.2%,worse,Medium,Household Spending y/y,-0.4%,,7:30pm
13,-0.6%,JPY,2016-12-26 00:00:00,-0.4%,worse,Medium,Tokyo Core CPI y/y,-0.4%,,7:30pm
14,-0.4%,JPY,2016-12-26 00:00:00,-0.3%,worse,Low,National Core CPI y/y,-0.4%,,7:30pm
15,3.1%,JPY,2016-12-26 00:00:00,3.0%,worse,Low,Unemployment Rate,3.0%,,7:30pm
16,0.2%,JPY,2016-12-27 00:00:00,0.2%,,Low,BOJ Core CPI y/y,0.3%,,1:00am
17,6.7%,JPY,2016-12-27 00:00:00,9.6%,worse,Low,Housing Starts y/y,13.7%,,1:00am
18,,GBP,2016-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
19,,CAD,2016-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,5.1%,USD,2016-12-27 00:00:00,5.0%,,Low,S&P/CS Composite-20 HPI y/y,5.0%,,10:00am
21,8,USD,2016-12-27 00:00:00,5,better,Low,Richmond Manufacturing Index,4,,10:59am
22,113.7,USD,2016-12-27 00:00:00,108.9,better,High,CB Consumer Confidence,109.4,better,11:00am
23,1.5%,JPY,2016-12-27 00:00:00,1.8%,worse,Low,Prelim Industrial Production m/m,0.0%,worse,7:50pm
24,1.7%,JPY,2016-12-27 00:00:00,0.9%,better,Low,Retail Sales y/y,-0.2%,,7:50pm
25,1.43,CHF,2016-12-28 00:00:00,,,Low,UBS Consumption Indicator,1.39,worse,3:00am
26,40.7K,GBP,2016-12-28 00:00:00,41.6K,worse,Low,High Street Lending,40.8K,,5:30am
27,-2.5%,USD,2016-12-28 00:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.1%,,11:00am
28,,JPY,2016-12-28 00:00:00,,,Low,BOJ Summary of Opinions,,,7:50pm
29,0.8%,GBP,2016-12-29 00:00:00,0.2%,better,Low,Nationwide HPI m/m,0.0%,,3:00am
30,4.8%,EUR,2016-12-29 00:00:00,4.4%,better,Medium,M3 Money Supply y/y,4.4%,,5:00am
31,1.9%,EUR,2016-12-29 00:00:00,1.9%,,Low,Private Loans y/y,1.8%,,5:00am
32,1.77|1.4,EUR,2016-12-29 00:00:00,,,Low,Italian 10-y Bond Auction,1.97|1.6,,6:17am
33,265K,USD,2016-12-29 00:00:00,277K,better,High,Unemployment Claims,275K,,9:30am
34,-65.3B,USD,2016-12-29 00:00:00,-61.5B,worse,Low,Goods Trade Balance,-61.9B,,9:30am
35,0.9%,USD,2016-12-29 00:00:00,0.1%,worse,Low,Prelim Wholesale Inventories m/m,-0.1%,worse,9:30am
36,-237B,USD,2016-12-29 00:00:00,-219B,,Low,Natural Gas Storage,-209B,,11:30am
37,0.6M,USD,2016-12-29 00:00:00,-1.3M,,High,Crude Oil Inventories,2.3M,,12:00pm
38,0.5%,AUD,2016-12-29 00:00:00,0.5%,,Low,Private Sector Credit m/m,0.5%,,8:30pm
39,1.5%,EUR,2016-12-30 00:00:00,0.9%,better,Medium,Spanish Flash CPI y/y,0.7%,,4:00am
40,-10.9B,GBP,2016-12-30 00:00:00,-11.1B,,Low,Housing Equity Withdrawal q/q,-13.1B,worse,5:30am
41,54.6,USD,2016-12-30 00:00:00,56.5,worse,Medium,Chicago PMI,57.6,,10:45am
42,51.4,CNY,2016-12-31 00:00:00,51.6,,High,Manufacturing PMI,51.7,,9:00pm
43,54.5,CNY,2016-12-31 00:00:00,,,Medium,Non-Manufacturing PMI,54.7,,9:00pm
