,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,,JPY,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
3,,CNY,2017-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
4,,CHF,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,,EUR,2017-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
6,,EUR,2017-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
7,,EUR,2017-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
8,,GBP,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
9,,CAD,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,,USD,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
11,,NZD,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
12,56.2,AUD,2017-01-01 00:00:00,,,Low,AIG Manufacturing Index,57.3,,6:30pm
13,,JPY,2017-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
14,51.5,CNY,2017-01-01 00:00:00,50.7,better,Medium,Caixin Manufacturing PMI,50.8,,9:45pm
15,-5.9%,AUD,2017-01-02 00:00:00,,,Low,Commodity Prices y/y,-4.0%,worse,1:30am
16,,CHF,2017-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
17,55.8,EUR,2017-01-02 00:00:00,56.4,worse,Low,Spanish Manufacturing PMI,56.1,,4:15am
18,57.4,EUR,2017-01-02 00:00:00,58.6,worse,Low,Italian Manufacturing PMI,58.3,,4:45am
19,58.8,EUR,2017-01-02 00:00:00,59.3,worse,Low,French Final Manufacturing PMI,59.3,,4:50am
20,63.3,EUR,2017-01-02 00:00:00,63.3,,Low,German Final Manufacturing PMI,63.3,,4:55am
21,60.6,EUR,2017-01-02 00:00:00,60.6,,Low,Final Manufacturing PMI,60.6,,5:00am
22,56.3,GBP,2017-01-02 00:00:00,58.0,worse,High,Manufacturing PMI,58.2,,5:30am
23,-5.9B,GBP,2017-01-02 00:00:00,-6.2B,better,Low,Housing Equity Withdrawal q/q,-5.8B,worse,5:36am
24,2.2%,NZD,2017-01-02 00:00:00,,,Medium,GDT Price Index,-3.9%,,10:25am
25,54.7,CAD,2017-01-02 00:00:00,,,Low,Manufacturing PMI,54.4,,10:30am
26,55.1,USD,2017-01-02 00:00:00,55.0,,Low,Final Manufacturing PMI,55.0,,10:45am
27,,JPY,2017-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
28,-61.5K,EUR,2017-01-03 00:00:00,-58.7K,,Medium,Spanish Unemployment Change,7.3K,,4:00am
29,65.2,CHF,2017-01-03 00:00:00,64.6,better,Low,Manufacturing PMI,65.1,,4:30am
30,-29K,EUR,2017-01-03 00:00:00,-13K,better,Low,German Unemployment Change,-20K,better,4:55am
31,52.2,GBP,2017-01-03 00:00:00,52.8,worse,High,Construction PMI,53.1,,5:30am
32,59.7,USD,2017-01-03 00:00:00,58.1,better,High,ISM Manufacturing PMI,58.2,,11:00am
33,0.8%,USD,2017-01-03 00:00:00,0.6%,,Low,Construction Spending m/m,0.9%,worse,11:00am
34,69.0,USD,2017-01-03 00:00:00,64.8,better,Low,ISM Manufacturing Prices,65.5,,11:00am
35,17.9M,USD,2017-01-03 00:00:00,17.5M,better,Low,Total Vehicle Sales,17.5M,,12:00am
36,,USD,2017-01-03 00:00:00,,,High,FOMC Meeting Minutes,,,3:00pm
37,52.0,AUD,2017-01-03 00:00:00,,,Low,AIG Services Index,51.7,,6:30pm
38,54.0,JPY,2017-01-03 00:00:00,54.2,,Low,Final Manufacturing PMI,54.2,,8:30pm
39,53.9,CNY,2017-01-03 00:00:00,51.8,better,Medium,Caixin Services PMI,51.9,,9:45pm
40,0.6%,GBP,2017-01-04 00:00:00,0.1%,better,Low,Nationwide HPI m/m,0.1%,,2:57am
41,54.6,EUR,2017-01-04 00:00:00,54.7,,Low,Spanish Services PMI,54.4,,4:15am
42,55.4,EUR,2017-01-04 00:00:00,54.7,better,Low,Italian Services PMI,54.7,,4:45am
43,59.1,EUR,2017-01-04 00:00:00,59.4,,Low,French Final Services PMI,59.4,,4:50am
44,55.8,EUR,2017-01-04 00:00:00,55.8,,Low,German Final Services PMI,55.8,,4:55am
45,56.6,EUR,2017-01-04 00:00:00,56.5,,Low,Final Services PMI,56.5,,5:00am
46,54.2,GBP,2017-01-04 00:00:00,54.1,,High,Services PMI,53.8,,5:30am
47,4.9B,GBP,2017-01-04 00:00:00,4.9B,,Medium,Net Lending to Individuals m/m,4.7B,,5:30am
48,0.1%,GBP,2017-01-04 00:00:00,0.4%,worse,Low,M4 Money Supply m/m,0.6%,,5:30am
49,65K,GBP,2017-01-04 00:00:00,64K,,Low,Mortgage Approvals,65K,,5:30am
50,1.53|1.8,EUR,2017-01-04 00:00:00,,,Low,Spanish 10-y Bond Auction,1.49|2.0,,5:51am
51,0.79|1.4,EUR,2017-01-04 00:00:00,,,Low,French 10-y Bond Auction,0.36|1.9,,6:01am
52,-3.6%,USD,2017-01-04 00:00:00,,,Low,Challenger Job Cuts y/y,30.1%,,8:30am
53,250K,USD,2017-01-04 00:00:00,191K,better,High,ADP Non-Farm Employment Change,185K,,9:15am
54,5.5%,CAD,2017-01-04 00:00:00,4.0%,better,Medium,RMPI m/m,3.8%,,9:30am
55,1.4%,CAD,2017-01-04 00:00:00,0.8%,better,Low,IPPI m/m,1.1%,better,9:30am
56,250K,USD,2017-01-04 00:00:00,241K,worse,High,Unemployment Claims,247K,,9:30am
57,53.7,USD,2017-01-04 00:00:00,52.4,better,Low,Final Services PMI,52.4,,10:45am
58,-206B,USD,2017-01-04 00:00:00,-221B,,Low,Natural Gas Storage,-112B,,11:30am
59,-7.4M,USD,2017-01-04 00:00:00,-5.2M,,High,Crude Oil Inventories,-4.6M,,12:00pm
60,11.2%,JPY,2017-01-04 00:00:00,13.1%,worse,Low,Monetary Base y/y,13.2%,,7:50pm
61,-0.6%,GBP,2017-01-04 00:00:00,,,Low,BRC Shop Price Index y/y,-0.1%,,8:01pm
62,-0.63B,AUD,2017-01-04 00:00:00,0.55B,worse,High,Trade Balance,-0.30B,worse,8:30pm
63,2.3%,EUR,2017-01-05 00:00:00,1.0%,better,Medium,German Retail Sales m/m,-1.0%,better,3:00am
64,0.3%,EUR,2017-01-05 00:00:00,0.3%,,Low,French Prelim CPI m/m,0.1%,,3:45am
65,53.0,EUR,2017-01-05 00:00:00,,,Low,Retail PMI,52.4,,5:10am
66,1.4%,EUR,2017-01-05 00:00:00,1.4%,,High,CPI Flash Estimate y/y,1.5%,,6:00am
67,0.9%,EUR,2017-01-05 00:00:00,1.0%,worse,Medium,Core CPI Flash Estimate y/y,0.9%,,6:00am
68,0.6%,EUR,2017-01-05 00:00:00,0.3%,better,Low,PPI m/m,0.4%,,6:00am
69,0.4%,EUR,2017-01-05 00:00:00,0.2%,better,Low,Italian Prelim CPI m/m,-0.2%,,6:00am
70,78.6K,CAD,2017-01-05 00:00:00,1.8K,better,High,Employment Change,79.5K,,9:30am
71,-2.5B,CAD,2017-01-05 00:00:00,-1.2B,worse,High,Trade Balance,-1.6B,,9:30am
72,5.7%,CAD,2017-01-05 00:00:00,6.0%,better,High,Unemployment Rate,5.9%,,9:30am
73,0.3%,USD,2017-01-05 00:00:00,0.3%,,High,Average Hourly Earnings m/m,0.1%,worse,9:30am
74,148K,USD,2017-01-05 00:00:00,190K,worse,High,Non-Farm Employment Change,252K,better,9:30am
75,4.1%,USD,2017-01-05 00:00:00,4.1%,,High,Unemployment Rate,4.1%,,9:30am
76,-50.5B,USD,2017-01-05 00:00:00,-49.7B,worse,Low,Trade Balance,-48.9B,,9:30am
77,60.4,CAD,2017-01-05 00:00:00,62.2,worse,Medium,Ivey PMI,63.0,,11:00am
78,55.9,USD,2017-01-05 00:00:00,57.6,worse,High,ISM Non-Manufacturing PMI,57.4,,11:00am
79,1.3%,USD,2017-01-05 00:00:00,1.1%,better,Low,Factory Orders m/m,0.4%,better,11:00am
80,,USD,2017-01-05 00:00:00,,,Medium,FOMC Member Mester Speaks,,,1:30pm
81,,USD,2017-01-06 00:00:00,,,Medium,FOMC Member Mester Speaks,,,11:15am
82,,NZD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
83,,AUD,2017-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
84,,CHF,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
85,,EUR,2017-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
86,,EUR,2017-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
87,,EUR,2017-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
88,,GBP,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
89,,CAD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
90,,USD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
91,,NZD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
92,,AUD,2017-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
93,1.7%,JPY,2017-12-25 00:00:00,0.6%,better,Low,Household Spending y/y,0.0%,,7:30pm
94,0.9%,JPY,2017-12-25 00:00:00,0.8%,better,Low,National Core CPI y/y,0.8%,,7:30pm
95,0.8%,JPY,2017-12-25 00:00:00,0.7%,better,Low,Tokyo Core CPI y/y,0.6%,,7:30pm
96,2.7%,JPY,2017-12-25 00:00:00,2.8%,better,Low,Unemployment Rate,2.8%,,7:30pm
97,,JPY,2017-12-25 00:00:00,,,Low,Monetary Policy Meeting Minutes,,,7:50pm
98,0.8%,JPY,2017-12-25 00:00:00,0.8%,,Low,SPPI y/y,0.8%,,7:50pm
99,,JPY,2017-12-26 00:00:00,,,High,BOJ Gov Kuroda Speaks,,,12:00am
100,,CHF,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
101,,EUR,2017-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
102,,EUR,2017-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
103,,GBP,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
104,,CAD,2017-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
105,6.4%,USD,2017-12-26 00:00:00,6.3%,,Low,S&P/CS Composite-20 HPI y/y,6.2%,,10:00am
106,20,USD,2017-12-26 00:00:00,22,worse,Low,Richmond Manufacturing Index,30,,10:59am
107,-0.4%,JPY,2017-12-27 00:00:00,-2.5%,better,Low,Housing Starts y/y,-4.8%,,1:00am
108,1.67,CHF,2017-12-27 00:00:00,,,Medium,UBS Consumption Indicator,1.68,better,3:00am
109,52.0,CHF,2017-12-27 00:00:00,,,Medium,Credit Suisse Economic Expectations,40.7,,5:00am
110,122.1,USD,2017-12-27 00:00:00,128.2,worse,High,CB Consumer Confidence,128.6,worse,11:00am
111,0.2%,USD,2017-12-27 00:00:00,-0.4%,better,Medium,Pending Home Sales m/m,3.5%,,11:00am
112,,JPY,2017-12-27 00:00:00,,,Low,BOJ Summary of Opinions,,,7:50pm
113,0.6%,JPY,2017-12-27 00:00:00,0.5%,better,Low,Prelim Industrial Production m/m,0.5%,,7:50pm
114,2.2%,JPY,2017-12-27 00:00:00,1.1%,better,Low,Retail Sales y/y,-0.2%,,7:50pm
115,0.6%,JPY,2017-12-28 00:00:00,0.5%,better,Low,BOJ Core CPI y/y,0.5%,,1:00am
116,,EUR,2017-12-28 00:00:00,,,Low,ECB Economic Bulletin,,,5:00am
117,39.5K,GBP,2017-12-28 00:00:00,40.6K,worse,Low,High Street Lending,40.4K,,5:30am
118,1.86|1.8,EUR,2017-12-28 00:00:00,,,Low,Italian 10-y Bond Auction,1.73|1.6,,6:22am
119,245K,USD,2017-12-28 00:00:00,240K,worse,High,Unemployment Claims,245K,,9:30am
120,-69.7B,USD,2017-12-28 00:00:00,-67.7B,worse,Low,Goods Trade Balance,-68.1B,,9:30am
121,0.7%,USD,2017-12-28 00:00:00,0.4%,worse,Low,Prelim Wholesale Inventories m/m,-0.5%,better,9:30am
122,67.6,USD,2017-12-28 00:00:00,62.2,better,Medium,Chicago PMI,63.9,,10:45am
123,-112B,USD,2017-12-28 00:00:00,-115B,,Low,Natural Gas Storage,-182B,,11:30am
124,-4.6M,USD,2017-12-28 00:00:00,-3.9M,,High,Crude Oil Inventories,-6.5M,,12:00pm
125,0.5%,AUD,2017-12-28 00:00:00,0.4%,better,Low,Private Sector Credit m/m,0.4%,,8:30pm
126,0.6%,EUR,2017-12-29 00:00:00,0.5%,better,Medium,German Prelim CPI m/m,0.3%,,12:00am
127,1.2%,EUR,2017-12-29 00:00:00,1.5%,worse,Medium,Spanish Flash CPI y/y,1.7%,better,4:00am
