,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,47.7,EUR,2013-12-30 00:00:00,,,Low,Retail PMI,48.0,,5:10am
1,-10.4B,GBP,2013-12-30 00:00:00,-7.2B,worse,Low,Housing Equity Withdrawal q/q,-12.5B,better,5:30am
2,4.11|1.3,EUR,2013-12-30 00:00:00,,,Medium,Italian 10-y Bond Auction,4.01|1.5,,6:12am
3,0.2%,USD,2013-12-30 00:00:00,1.1%,worse,High,Pending Home Sales m/m,-1.2%,worse,11:00am
4,,JPY,2013-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,0.3%,AUD,2013-12-30 00:00:00,0.4%,worse,Medium,Private Sector Credit m/m,0.3%,,8:30pm
6,,EUR,2013-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
7,13.6%,USD,2013-12-31 00:00:00,13.4%,better,Medium,S&P/CS Composite-20 HPI y/y,13.3%,,10:00am
8,59.1,USD,2013-12-31 00:00:00,61.3,worse,Medium,Chicago PMI,63.0,,10:45am
9,78.1,USD,2013-12-31 00:00:00,76.5,better,High,CB Consumer Confidence,72.0,better,11:00am
10,,NZD,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
11,,AUD,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
12,,JPY,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
13,,CNY,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
14,51.0,CNY,2013-12-31 00:00:00,51.3,,High,Manufacturing PMI,51.4,,9:00pm
15,,CHF,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
16,,EUR,2013-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
17,,EUR,2013-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
18,,EUR,2013-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
19,,GBP,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,,CAD,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
21,,USD,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
22,,NZD,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
23,47.6,AUD,2013-01-01 00:00:00,,,Low,AIG Manufacturing Index,47.7,,6:10pm
24,,JPY,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
25,,CNY,2013-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
26,50.5,CNY,2013-01-01 00:00:00,50.5,,Medium,Caixin Manufacturing PMI,50.5,,9:45pm
27,-4.0%,AUD,2013-01-02 00:00:00,,,Low,Commodity Prices y/y,-2.8%,worse,1:30am
28,,CHF,2013-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
29,50.8,EUR,2013-01-02 00:00:00,49.9,better,Medium,Spanish Manufacturing PMI,48.6,,4:15am
30,53.3,EUR,2013-01-02 00:00:00,51.8,better,Medium,Italian Manufacturing PMI,51.4,,4:45am
31,47.0,EUR,2013-01-02 00:00:00,47.1,,Low,French Final Manufacturing PMI,47.1,,4:50am
32,54.3,EUR,2013-01-02 00:00:00,54.2,,Low,German Final Manufacturing PMI,54.2,,4:55am
33,52.7,EUR,2013-01-02 00:00:00,52.7,,Low,Final Manufacturing PMI,52.7,,5:00am
34,57.3,GBP,2013-01-02 00:00:00,58.3,worse,High,Manufacturing PMI,58.1,,5:30am
35,339K,USD,2013-01-02 00:00:00,334K,worse,High,Unemployment Claims,341K,,9:30am
36,55.0,USD,2013-01-02 00:00:00,54.4,better,Low,Final Manufacturing PMI,54.4,,10:00am
37,53.5,CAD,2013-01-02 00:00:00,,,Low,Manufacturing PMI,55.3,,10:30am
38,57.0,USD,2013-01-02 00:00:00,56.8,,High,ISM Manufacturing PMI,57.3,,11:00am
39,1.0%,USD,2013-01-02 00:00:00,0.7%,better,Low,Construction Spending m/m,0.9%,,11:00am
40,53.5,USD,2013-01-02 00:00:00,53.0,better,Low,ISM Manufacturing Prices,52.5,,11:00am
41,,JPY,2013-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
42,54.6,CNY,2013-01-02 00:00:00,,,Medium,Non-Manufacturing PMI,56.0,,9:00pm
43,1.4%,GBP,2013-01-03 00:00:00,0.8%,better,Medium,Nationwide HPI m/m,0.7%,,3:00am
44,1.95,CHF,2013-01-03 00:00:00,1.92,,Medium,KOF Economic Barometer,1.85,,4:00am
45,0.2%,EUR,2013-01-03 00:00:00,0.2%,,Medium,Spanish Flash CPI y/y,0.2%,,4:00am
46,-107.6K,EUR,2013-01-03 00:00:00,24.3K,better,Medium,Spanish Unemployment Change,-2.5K,,4:00am
47,53.9,CHF,2013-01-03 00:00:00,56.4,worse,Medium,Manufacturing PMI,56.5,,4:30am
48,1.5%,EUR,2013-01-03 00:00:00,1.5%,,Medium,M3 Money Supply y/y,1.4%,,5:00am
49,-2.3%,EUR,2013-01-03 00:00:00,-1.9%,worse,Low,Private Loans y/y,-2.2%,worse,5:00am
50,62.1,GBP,2013-01-03 00:00:00,62.3,,High,Construction PMI,62.6,,5:30am
51,1.5B,GBP,2013-01-03 00:00:00,2.0B,worse,Medium,Net Lending to Individuals m/m,1.6B,,5:30am
52,0.0%,GBP,2013-01-03 00:00:00,0.3%,worse,Low,M4 Money Supply m/m,0.1%,,5:30am
53,71K,GBP,2013-01-03 00:00:00,70K,,Low,Mortgage Approvals,68K,,5:30am
54,0.2%,EUR,2013-01-03 00:00:00,0.3%,worse,Low,Italian Prelim CPI m/m,-0.3%,better,6:00am
55,-97B,USD,2013-01-03 00:00:00,-125B,,Low,Natural Gas Storage,-177B,,11:30am
56,-7.0M,USD,2013-01-03 00:00:00,-2.3M,,Medium,Crude Oil Inventories,-4.7M,,12:00pm
57,15.4M,USD,2013-01-03 00:00:00,16.0M,worse,Low,Total Vehicle Sales,16.4M,,12:00am
58,,USD,2013-01-03 00:00:00,,,Medium,FOMC Member Plosser Speaks,,,1:45pm
59,,USD,2013-01-03 00:00:00,,,Medium,FOMC Member Stein Speaks,,,2:15pm
60,,USD,2013-01-03 00:00:00,,,High,Fed Chairman Bernanke Speaks,,,3:30pm
61,,USD,2013-01-04 00:00:00,,,Medium,FOMC Member Dudley Speaks,,,11:15am
62,,USD,2013-01-04 00:00:00,,,Medium,FOMC Member Plosser Speaks,,,6:00pm
63,,JPY,2013-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
64,1.43,CHF,2013-12-23 00:00:00,,,Low,UBS Consumption Indicator,1.26,worse,3:00am
65,0.1%,EUR,2013-12-23 00:00:00,0.4%,worse,Low,German Import Prices m/m,-0.7%,,3:00am
66,0.3%,CAD,2013-12-23 00:00:00,0.1%,better,High,GDP m/m,0.3%,,9:30am
67,0.1%,USD,2013-12-23 00:00:00,0.1%,,Medium,Core PCE Price Index m/m,0.1%,,9:30am
68,0.5%,USD,2013-12-23 00:00:00,0.5%,,Medium,Personal Spending m/m,0.4%,better,9:30am
69,0.2%,USD,2013-12-23 00:00:00,0.4%,worse,Low,Personal Income m/m,-0.1%,,9:30am
70,82.5,USD,2013-12-23 00:00:00,82.9,,Medium,Revised UoM Consumer Sentiment,82.5,,10:55am
71,3.0%,USD,2013-12-23 00:00:00,,,Low,Revised UoM Inflation Expectations,3.0%,,10:55am
72,,JPY,2013-12-24 00:00:00,,,Low,BOJ Monthly Report,,,1:00am
73,,EUR,2013-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
74,1.4%,EUR,2013-12-24 00:00:00,0.3%,better,Medium,French Consumer Spending m/m,-0.1%,better,3:45am
75,45.0K,GBP,2013-12-24 00:00:00,44.5K,better,Medium,High Street Lending,43.3K,better,5:30am
76,1.2%,USD,2013-12-24 00:00:00,0.9%,better,High,Core Durable Goods Orders m/m,0.4%,better,9:30am
77,3.5%,USD,2013-12-24 00:00:00,1.7%,better,Medium,Durable Goods Orders m/m,-1.6%,better,9:30am
78,0.5%,USD,2013-12-24 00:00:00,0.5%,,Low,HPI m/m,0.2%,worse,10:00am
79,13,USD,2013-12-24 00:00:00,15,worse,Low,Richmond Manufacturing Index,13,,10:59am
80,464K,USD,2013-12-24 00:00:00,449K,better,High,New Home Sales,474K,better,11:00am
81,,NZD,2013-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
82,,AUD,2013-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
83,1.0%,JPY,2013-12-24 00:00:00,0.8%,better,Low,SPPI y/y,0.8%,,7:50pm
84,,JPY,2013-12-25 00:00:00,,,Medium,BOJ Gov Kuroda Speaks,,,12:00am
85,,CHF,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
86,,EUR,2013-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
87,,EUR,2013-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
88,,EUR,2013-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
89,,GBP,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
90,,CAD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
91,,USD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
92,,NZD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
93,,AUD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
94,,JPY,2013-12-25 00:00:00,,,Medium,Monetary Policy Meeting Minutes,,,7:50pm
95,14.1%,JPY,2013-12-26 00:00:00,9.5%,better,Low,Housing Starts y/y,7.1%,,1:00am
96,,CHF,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
97,,EUR,2013-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
98,,EUR,2013-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
99,,GBP,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
100,,CAD,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
101,338K,USD,2013-12-26 00:00:00,346K,better,High,Unemployment Claims,380K,,9:30am
102,55.2,JPY,2013-12-26 00:00:00,,,Low,Final Manufacturing PMI,55.1,,7:15pm
103,0.2%,JPY,2013-12-26 00:00:00,1.9%,worse,Medium,Household Spending y/y,0.9%,,7:30pm
104,0.7%,JPY,2013-12-26 00:00:00,0.7%,,Medium,Tokyo Core CPI y/y,0.6%,,7:30pm
105,1.2%,JPY,2013-12-26 00:00:00,1.1%,better,Low,National Core CPI y/y,0.9%,,7:30pm
106,4.0%,JPY,2013-12-26 00:00:00,3.9%,worse,Low,Unemployment Rate,4.0%,,7:30pm
107,0.1%,JPY,2013-12-26 00:00:00,0.6%,worse,Medium,Prelim Industrial Production m/m,0.5%,,7:50pm
108,4.0%,JPY,2013-12-26 00:00:00,2.9%,better,Medium,Retail Sales y/y,2.4%,,7:50pm
109,0.5%,JPY,2013-12-26 00:00:00,0.4%,better,Medium,Average Cash Earnings y/y,-0.1%,worse,9:30pm
110,-177B,USD,2013-12-27 00:00:00,-177B,,Low,Natural Gas Storage,-285B,,11:30am
111,-4.7M,USD,2013-12-27 00:00:00,-1.9M,,Medium,Crude Oil Inventories,-2.9M,,12:00pm
112,120.1,NZD,2013-12-15 00:00:00,,,Low,Westpac Consumer Sentiment,115.4,,5:00pm
