,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,CHF,"Friday, October 12, 2018",,-,Medium,CHF Real Estate Index Family Homes (3Q),468.4,-,
1,,CNY,"Friday, October 12, 2018",1550.0b,-,Medium,CNY Aggregate Financing CNY (SEP),1520.0b,-,
2,,CNY,"Friday, October 12, 2018",,-,Low,CNY Money Supply M0 (YoY) (SEP),3.3%,-,
3,,CNY,"Friday, October 12, 2018",3.9%,-,Low,CNY Money Supply M1 (YoY) (SEP),3.9%,-,
4,,CNY,"Friday, October 12, 2018",8.3%,-,Low,CNY Money Supply M2 (YoY) (SEP),8.2%,-,
5,,CNY,"Friday, October 12, 2018",1350.0b,-,High,CNY New Yuan Loans CNY (SEP),1280.0b,-,
6,,CNY,"Friday, October 12, 2018",,-,Medium,CNY Foreign Direct Investment (YoY) (SEP),1.9%,-,
7,,AUD,"Friday, October 12, 2018",,-,Low,AUD RBA Financial Stability Review,,-,00:30
8,-1.0%,AUD,"Friday, October 12, 2018",,-,Medium,AUD Home Loans (MoM) (AUG),0.4%,-,00:30
9,-1.1%,AUD,"Friday, October 12, 2018",,-,Low,AUD Investment Lending (AUG),-1.4%,-,00:30
10,-2.7%,AUD,"Friday, October 12, 2018",,-,Low,AUD Value of Loans (MoM) (AUG),1.4%,u,00:30
11,,AUD,"Friday, October 12, 2018",,-,Low,AUD RBA Financial Stability Review,,-,00:30
12,,JPY,"Friday, October 12, 2018",,-,Low,JPY BOJ Outright Bond Purchase 1~3 Years,,-,01:10
13,,JPY,"Friday, October 12, 2018",,-,Low,JPY BOJ Outright Bond Purchase 3~5 Years,,-,01:10
14,,JPY,"Friday, October 12, 2018",,-,Low,JPY BOJ Outright Bond Purchase 10~25 Years,,-,01:10
15,,JPY,"Friday, October 12, 2018",,-,Low,JPY BOJ Outright Bond Purchase 25 Years~,,-,01:10
16,0.5%,JPY,"Friday, October 12, 2018",0.3%,u,Medium,JPY Tertiary Industry Index (MoM) (AUG),-0.1%,d,04:30
17,0.4%,EUR,"Friday, October 12, 2018",0.4%,-,Medium,EUR German Consumer Price Index (MoM) (SEP F),0.4%,-,06:00
18,2.3%,EUR,"Friday, October 12, 2018",2.3%,-,Medium,EUR German Consumer Price Index (YoY) (SEP F),2.3%,-,06:00
19,1.0%,EUR,"Friday, October 12, 2018",0.4%,u,Low,EUR Euro-Zone Industrial Production s.a. (MoM) (AUG),-0.7%,u,09:00
20,0.9%,EUR,"Friday, October 12, 2018",-0.3%,u,Medium,EUR Euro-Zone Industrial Production w.d.a. (YoY) (AUG),0.3%,u,09:00
21,,CAD,"Friday, October 12, 2018",,-,Low,CAD Teranet/National Bank HP Index (SEP),226.12,-,12:30
