,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,AUD,2018-09-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,59.0,AUD,2018-09-30 00:00:00,,,Low,AIG Manufacturing Index,56.7,,6:30pm
2,19,JPY,2018-09-30 00:00:00,22,worse,Low,Tankan Manufacturing Index,21,,7:50pm
3,22,JPY,2018-09-30 00:00:00,23,worse,Low,Tankan Non-Manufacturing Index,24,,7:50pm
4,,CNY,2018-09-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,52.5,JPY,2018-09-30 00:00:00,52.9,worse,Low,Final Manufacturing PMI,52.9,,8:30pm
6,0.3%,AUD,2018-09-30 00:00:00,,,Low,MI Inflation Gauge m/m,0.1%,,9:00pm
7,-0.1%,EUR,2018-10-01 00:00:00,0.4%,worse,Medium,German Retail Sales m/m,-1.1%,worse,2:00am
8,0.4%,CHF,2018-10-01 00:00:00,0.4%,,Low,Retail Sales y/y,-0.9%,worse,3:15am
9,51.4,EUR,2018-10-01 00:00:00,52.7,worse,Low,Spanish Manufacturing PMI,53.0,,3:15am
10,59.7,CHF,2018-10-01 00:00:00,62.6,worse,Low,Manufacturing PMI,64.8,,3:30am
11,50.0,EUR,2018-10-01 00:00:00,50.3,,Low,Italian Manufacturing PMI,50.1,,3:45am
12,52.5,EUR,2018-10-01 00:00:00,52.5,,Low,French Final Manufacturing PMI,52.5,,3:50am
13,53.7,EUR,2018-10-01 00:00:00,53.7,,Low,German Final Manufacturing PMI,53.7,,3:55am
14,53.2,EUR,2018-10-01 00:00:00,53.3,,Low,Final Manufacturing PMI,53.3,,4:00am
15,9.7%,EUR,2018-10-01 00:00:00,10.5%,better,Low,Italian Monthly Unemployment Rate,10.2%,better,4:00am
16,53.8,GBP,2018-10-01 00:00:00,52.6,better,High,Manufacturing PMI,53.0,,4:30am
17,4.0B,GBP,2018-10-01 00:00:00,4.8B,worse,Medium,Net Lending to Individuals m/m,3.8B,worse,4:30am
18,0.2%,GBP,2018-10-01 00:00:00,0.6%,worse,Low,M4 Money Supply m/m,0.9%,,4:30am
19,66K,GBP,2018-10-01 00:00:00,65K,,Low,Mortgage Approvals,65K,,4:30am
20,8.1%,EUR,2018-10-01 00:00:00,8.1%,,Low,Unemployment Rate,8.2%,,5:00am
21,,EUR,2018-10-01 00:00:00,,,Low,Eurogroup Meetings,,,12:00am
22,,USD,2018-10-01 00:00:00,,,Medium,FOMC Member Bostic Speaks,,,9:00am
23,54.8,CAD,2018-10-01 00:00:00,,,Low,Manufacturing PMI,56.8,,9:30am
24,55.6,USD,2018-10-01 00:00:00,55.6,,Low,Final Manufacturing PMI,55.6,,9:45am
25,59.8,USD,2018-10-01 00:00:00,60.1,,High,ISM Manufacturing PMI,61.3,,10:00am
26,0.1%,USD,2018-10-01 00:00:00,0.5%,worse,Low,Construction Spending m/m,0.2%,,10:00am
27,66.9,USD,2018-10-01 00:00:00,72.0,worse,Low,ISM Manufacturing Prices,72.1,,10:00am
28,,USD,2018-10-01 00:00:00,,,High,President Trump Speaks,,,11:00am
29,,CAD,2018-10-01 00:00:00,,,Medium,Gov Council Member Lane Speaks,,,1:00pm
30,-30,NZD,2018-10-01 00:00:00,,,Medium,NZIER Business Confidence,-20,,5:00pm
31,5.9%,JPY,2018-10-01 00:00:00,7.1%,worse,Low,Monetary Base y/y,6.9%,,7:50pm
32,,CNY,2018-10-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
33,0.14|4.2,JPY,2018-10-01 00:00:00,,,Low,10-y Bond Auction,0.11|4.5,,11:35pm
34,,AUD,2018-10-02 00:00:00,,,High,RBA Rate Statement,,,12:30am
35,1.50%,AUD,2018-10-02 00:00:00,1.50%,,Medium,Cash Rate,1.50%,,12:30am
36,43.4,JPY,2018-10-02 00:00:00,43.0,better,Low,Consumer Confidence,43.3,,1:00am
37,0.3%,GBP,2018-10-02 00:00:00,0.2%,,Low,Nationwide HPI m/m,-0.5%,,1:57am
38,4.8%,AUD,2018-10-02 00:00:00,,,Low,Commodity Prices y/y,6.6%,,2:30am
39,20.4K,EUR,2018-10-02 00:00:00,28.2K,better,Low,Spanish Unemployment Change,47.0K,,3:00am
40,52.1,GBP,2018-10-02 00:00:00,52.8,worse,Medium,Construction PMI,52.9,,4:30am
