,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,,NZD,2015-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
1,,AUD,2015-12-27 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
2,-1.0%,JPY,2015-12-27 00:00:00,-0.1%,worse,Medium,Retail Sales y/y,1.8%,,7:50pm
3,-1.0%,JPY,2015-12-27 00:00:00,-0.4%,worse,Low,Prelim Industrial Production m/m,1.4%,,7:50pm
4,,GBP,2015-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
5,,CAD,2015-12-28 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
6,-60.5B,USD,2015-12-29 00:00:00,-60.9B,,Medium,Goods Trade Balance,-58.4B,,9:30am
7,5.5%,USD,2015-12-29 00:00:00,5.6%,,Low,S&P/CS Composite-20 HPI y/y,5.4%,,10:00am
8,96.5,USD,2015-12-29 00:00:00,93.9,better,High,CB Consumer Confidence,92.6,better,11:00am
9,1.66,CHF,2015-12-30 00:00:00,,,Low,UBS Consumption Indicator,1.63,better,3:00am
10,0.8%,GBP,2015-12-30 00:00:00,0.4%,better,Low,Nationwide HPI m/m,0.1%,,3:00am
11,0.0%,EUR,2015-12-30 00:00:00,0.1%,worse,Medium,Spanish Flash CPI y/y,-0.3%,,4:00am
12,5.1%,EUR,2015-12-30 00:00:00,5.2%,,Medium,M3 Money Supply y/y,5.3%,,5:00am
13,1.4%,EUR,2015-12-30 00:00:00,1.3%,better,Low,Private Loans y/y,1.2%,,5:00am
14,1.59|1.3,EUR,2015-12-30 00:00:00,,,Low,Italian 10-y Bond Auction,1.36|1.7,,6:19am
15,-0.9%,USD,2015-12-30 00:00:00,0.6%,worse,Medium,Pending Home Sales m/m,0.4%,better,11:00am
16,2.6M,USD,2015-12-30 00:00:00,-1.8M,,Medium,Crude Oil Inventories,-5.9M,,11:30am
17,,JPY,2015-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
18,0.4%,AUD,2015-12-30 00:00:00,0.6%,worse,Low,Private Sector Credit m/m,0.7%,,8:30pm
19,,EUR,2015-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
20,-8.8B,GBP,2015-12-31 00:00:00,-10.5B,better,Low,Housing Equity Withdrawal q/q,-12.2B,worse,5:37am
21,287K,USD,2015-12-31 00:00:00,274K,worse,High,Unemployment Claims,267K,,9:30am
22,42.9,USD,2015-12-31 00:00:00,50.4,worse,Medium,Chicago PMI,48.7,,10:45am
23,-58B,USD,2015-12-31 00:00:00,-54B,,Low,Natural Gas Storage,-32B,,11:30am
24,,NZD,2015-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
25,,AUD,2015-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
26,,CNY,2015-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
27,,JPY,2015-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
28,49.7,CNY,2015-12-31 00:00:00,49.9,,High,Manufacturing PMI,49.6,,9:00pm
29,54.4,CNY,2015-12-31 00:00:00,,,Medium,Non-Manufacturing PMI,53.6,,9:00pm
30,,CHF,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
31,,EUR,2015-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
32,,EUR,2015-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
33,,EUR,2015-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
34,,GBP,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
35,,CAD,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
36,,USD,2015-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
37,,EUR,2015-12-20 00:00:00,,,Medium,Spanish Parliamentary Election,,,12:00am
38,110.7,NZD,2015-12-20 00:00:00,,,Low,Westpac Consumer Sentiment,106.0,,5:00pm
39,3.9%,NZD,2015-12-20 00:00:00,,,Low,Visitor Arrivals m/m,0.4%,better,5:45pm
40,8.5%,NZD,2015-12-20 00:00:00,,,Low,Credit Card Spending y/y,7.8%,,10:00pm
41,1.0%,JPY,2015-12-21 00:00:00,0.9%,,Low,All Industries Activity m/m,-0.2%,,12:30am
42,,JPY,2015-12-21 00:00:00,,,Low,BOJ Monthly Report,,,1:00am
43,-0.2%,EUR,2015-12-21 00:00:00,-0.2%,,Low,German PPI m/m,-0.4%,,3:00am
44,,EUR,2015-12-21 00:00:00,,,Low,German Buba Monthly Report,,,7:00am
45,19,GBP,2015-12-21 00:00:00,22,worse,Low,CBI Realized Sales,7,,7:00am
46,-6,EUR,2015-12-21 00:00:00,-6,,Low,Consumer Confidence,-6,,11:00am
47,2,GBP,2015-12-21 00:00:00,1,better,Low,GfK Consumer Confidence,1,,8:05pm
48,0.6%,CNY,2015-12-21 00:00:00,,,Low,CB Leading Index m/m,0.3%,worse,10:00pm
49,3.14B,CHF,2015-12-22 00:00:00,3.82B,worse,Low,Trade Balance,4.09B,worse,3:00am
50,9.4,EUR,2015-12-22 00:00:00,9.3,,Low,German GfK Consumer Climate,9.3,,3:00am
51,-0.2%,EUR,2015-12-22 00:00:00,0.2%,worse,Low,German Import Prices m/m,-0.3%,,3:00am
52,13.6B,GBP,2015-12-22 00:00:00,11.9B,worse,Medium,Public Sector Net Borrowing,6.7B,better,5:30am
53,2.0%,USD,2015-12-22 00:00:00,1.9%,better,High,Final GDP q/q,2.1%,,9:30am
54,1.3%,USD,2015-12-22 00:00:00,1.3%,,Low,Final GDP Price Index q/q,1.3%,,9:30am
55,-1.4,EUR,2015-12-22 00:00:00,-4.0,better,Low,Belgian NBB Business Climate,-3.9,,9:55am
56,0.5%,USD,2015-12-22 00:00:00,0.4%,better,Low,HPI m/m,0.7%,worse,10:00am
57,4.76M,USD,2015-12-22 00:00:00,5.32M,worse,Medium,Existing Home Sales,5.32M,worse,11:00am
58,6,USD,2015-12-22 00:00:00,-1,better,Low,Richmond Manufacturing Index,-3,,11:00am
59,-779M,NZD,2015-12-22 00:00:00,-812M,better,High,Trade Balance,-905M,better,5:45pm
60,,JPY,2015-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
61,0.3%,USD,2015-12-22 00:00:00,0.3%,,Medium,Personal Spending m/m,0.0%,worse,8:50pm
62,-1.1%,EUR,2015-12-23 00:00:00,0.2%,worse,Low,French Consumer Spending m/m,-0.2%,better,3:45am
63,96.6,CHF,2015-12-23 00:00:00,98.9,worse,Medium,KOF Economic Barometer,97.3,worse,4:00am
64,-17.5B,GBP,2015-12-23 00:00:00,-21.3B,better,High,Current Account,-17.5B,worse,5:30am
65,0.4%,GBP,2015-12-23 00:00:00,0.5%,worse,Medium,Final GDP q/q,0.5%,,5:30am
66,0.5%,GBP,2015-12-23 00:00:00,0.6%,worse,Low,Index of Services 3m/3m,0.6%,worse,5:30am
67,2.2%,GBP,2015-12-23 00:00:00,2.2%,,Low,Revised Business Investment q/q,2.2%,,5:30am
68,-0.3%,EUR,2015-12-23 00:00:00,0.3%,worse,Low,Italian Retail Sales m/m,-0.1%,,6:00am
69,0.0%,CAD,2015-12-23 00:00:00,0.4%,worse,High,Core Retail Sales m/m,-0.4%,better,9:30am
70,0.0%,CAD,2015-12-23 00:00:00,0.2%,worse,High,GDP m/m,-0.5%,,9:30am
71,0.1%,CAD,2015-12-23 00:00:00,0.4%,worse,Medium,Retail Sales m/m,-0.4%,better,9:30am
72,-0.1%,USD,2015-12-23 00:00:00,0.1%,worse,High,Core Durable Goods Orders m/m,0.6%,,9:30am
73,0.1%,USD,2015-12-23 00:00:00,0.1%,,Medium,Core PCE Price Index m/m,0.0%,,9:30am
74,0.0%,USD,2015-12-23 00:00:00,-0.6%,better,Medium,Durable Goods Orders m/m,2.9%,,9:30am
75,0.3%,USD,2015-12-23 00:00:00,0.2%,better,Low,Personal Income m/m,0.4%,,9:30am
76,490K,USD,2015-12-23 00:00:00,507K,worse,Medium,New Home Sales,470K,worse,11:00am
77,92.6,USD,2015-12-23 00:00:00,92.1,,Medium,Revised UoM Consumer Sentiment,91.8,,11:00am
78,2.6%,USD,2015-12-23 00:00:00,,,Low,Revised UoM Inflation Expectations,2.6%,,11:00am
79,-5.9M,USD,2015-12-23 00:00:00,1.4M,,Medium,Crude Oil Inventories,4.8M,,11:30am
80,-0.1%,AUD,2015-12-23 00:00:00,,,Low,CB Leading Index m/m,-0.1%,,7:00pm
81,,JPY,2015-12-23 00:00:00,,,Medium,Monetary Policy Meeting Minutes,,,7:50pm
82,,EUR,2015-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
83,45.0K,GBP,2015-12-24 00:00:00,46.2K,worse,Low,High Street Lending,45.5K,,5:30am
84,267K,USD,2015-12-24 00:00:00,270K,,High,Unemployment Claims,272K,,9:30am
85,-32B,USD,2015-12-24 00:00:00,-26B,,Low,Natural Gas Storage,-34B,,11:30am
86,,NZD,2015-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
87,,AUD,2015-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
88,-2.9%,JPY,2015-12-24 00:00:00,-2.1%,worse,Medium,Household Spending y/y,-2.4%,,7:30pm
89,0.1%,JPY,2015-12-24 00:00:00,0.1%,,Medium,Tokyo Core CPI y/y,0.0%,,7:30pm
90,0.1%,JPY,2015-12-24 00:00:00,0.0%,better,Low,National Core CPI y/y,-0.1%,,7:30pm
91,3.3%,JPY,2015-12-24 00:00:00,3.2%,worse,Low,Unemployment Rate,3.1%,,7:30pm
92,0.2%,JPY,2015-12-24 00:00:00,0.4%,worse,Low,SPPI y/y,0.4%,worse,7:50pm
93,1.2%,JPY,2015-12-25 00:00:00,1.2%,,Low,BOJ Core CPI y/y,1.2%,,1:00am
94,1.7%,JPY,2015-12-25 00:00:00,0.9%,better,Low,Housing Starts y/y,-2.5%,,1:00am
95,,CHF,2015-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
96,,EUR,2015-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
97,,EUR,2015-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
98,,EUR,2015-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
99,,GBP,2015-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
100,,CAD,2015-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
101,,USD,2015-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
102,12,JPY,2015-12-13 00:00:00,11,better,Medium,Tankan Manufacturing Index,12,,7:50pm
103,25,JPY,2015-12-13 00:00:00,23,better,Medium,Tankan Non-Manufacturing Index,25,,7:50pm
104,-1.1%,GBP,2015-12-13 00:00:00,,,Low,Rightmove HPI m/m,-1.3%,,8:01pm
105,1.4%,JPY,2015-12-14 00:00:00,1.4%,,Low,Revised Industrial Production m/m,1.4%,,12:30am
106,0.9%,JPY,2015-12-14 00:00:00,0.5%,better,Low,Tertiary Industry Activity m/m,-0.4%,,12:33am
107,0.6%,EUR,2015-12-14 00:00:00,0.3%,better,Low,Industrial Production m/m,-0.3%,,6:00am
108,,EUR,2015-12-14 00:00:00,,,High,ECB President Draghi Speaks,,,7:00am
109,,GBP,2015-12-14 00:00:00,,,Medium,MPC Member Shafik Speaks,,,8:00am
110,,AUD,2015-12-14 00:00:00,,,High,Monetary Policy Meeting Minutes,,,8:30pm
111,2.0%,AUD,2015-12-14 00:00:00,2.1%,,Medium,HPI q/q,4.7%,,8:30pm
112,,AUD,2015-12-14 00:00:00,,,Medium,Mid-Year Economic and Fiscal Outlook,,,8:30pm
113,1.0%,AUD,2015-12-14 00:00:00,,,Low,New Motor Vehicle Sales m/m,-3.7%,,8:30pm
114,0.4%,CHF,2015-12-15 00:00:00,0.1%,better,Medium,PPI m/m,0.2%,,4:15am
115,0.1%,GBP,2015-12-15 00:00:00,0.1%,,High,CPI y/y,-0.1%,,5:30am
116,,GBP,2015-12-15 00:00:00,,,Medium,MPC Member Haldane Speaks,,,5:30am
117,-1.6%,GBP,2015-12-15 00:00:00,-1.0%,worse,Medium,PPI Input m/m,0.0%,worse,5:30am
118,1.1%,GBP,2015-12-15 00:00:00,0.9%,better,Medium,RPI y/y,0.7%,,5:30am
119,1.2%,GBP,2015-12-15 00:00:00,1.2%,,Low,Core CPI y/y,1.1%,,5:30am
120,7.0%,GBP,2015-12-15 00:00:00,6.4%,better,Low,ONS HPI y/y,6.1%,,5:30am
121,-0.2%,GBP,2015-12-15 00:00:00,0.0%,worse,Low,PPI Output m/m,-0.1%,,5:30am
122,16.1,EUR,2015-12-15 00:00:00,15.2,better,High,German ZEW Economic Sentiment,10.4,,6:00am
123,33.9,EUR,2015-12-15 00:00:00,34.4,worse,Medium,ZEW Economic Sentiment,28.3,,6:00am
124,0.3%,EUR,2015-12-15 00:00:00,0.2%,better,Low,Employment Change q/q,0.4%,better,6:00am
125,,GBP,2015-12-15 00:00:00,,,Low,BOE Quarterly Bulletin,,,8:00am
126,-1.1%,CAD,2015-12-15 00:00:00,-0.4%,worse,High,Manufacturing Sales m/m,-1.5%,,9:30am
127,0.0%,USD,2015-12-15 00:00:00,0.0%,,High,CPI m/m,0.2%,,9:30am
128,0.2%,USD,2015-12-15 00:00:00,0.2%,,High,Core CPI m/m,0.2%,,9:30am
129,-4.6,USD,2015-12-15 00:00:00,-5.7,better,Medium,Empire State Manufacturing Index,-10.7,,9:30am
130,1.9%,NZD,2015-12-15 00:00:00,,,High,GDT Price Index,3.6%,,9:52am
131,-0.1%,GBP,2015-12-15 00:00:00,,,Low,CB Leading Index m/m,-0.3%,,10:30am
132,61,USD,2015-12-15 00:00:00,63,worse,Low,NAHB Housing Market Index,62,,11:00am
133,,CAD,2015-12-15 00:00:00,,,Low,BOC Financial System Review,,,12:00pm
134,,CAD,2015-12-15 00:00:00,,,High,BOC Gov Poloz Speaks,,,12:45pm
135,-16.6B,USD,2015-12-15 00:00:00,32.4B,worse,Low,TIC Long-Term Purchases,33.6B,,5:00pm
136,-4.75B,NZD,2015-12-15 00:00:00,-4.85B,,Medium,Current Account,-1.17B,,5:45pm
137,,AUD,2015-12-15 00:00:00,,,Medium,RBA Assist Gov Debelle Speaks,,,7:30pm
138,-0.2%,AUD,2015-12-15 00:00:00,,,Low,MI Leading Index m/m,0.1%,,7:30pm
139,52.5,JPY,2015-12-15 00:00:00,52.2,,Low,Flash Manufacturing PMI,52.6,,9:35pm
140,51.6,EUR,2015-12-16 00:00:00,50.6,better,High,French Flash Manufacturing PMI,50.6,,4:00am
141,50.0,EUR,2015-12-16 00:00:00,50.7,worse,Medium,French Flash Services PMI,51.0,,4:00am
142,53.0,EUR,2015-12-16 00:00:00,52.7,,High,German Flash Manufacturing PMI,52.9,,4:30am
143,55.4,EUR,2015-12-16 00:00:00,55.5,,Medium,German Flash Services PMI,55.6,,4:30am
144,53.1,EUR,2015-12-16 00:00:00,52.8,,Medium,Flash Manufacturing PMI,52.8,,5:00am
145,53.9,EUR,2015-12-16 00:00:00,54.0,,Medium,Flash Services PMI,54.2,worse,5:00am
146,2.4%,GBP,2015-12-16 00:00:00,2.5%,worse,High,Average Earnings Index 3m/y,3.0%,,5:30am
147,3.9K,GBP,2015-12-16 00:00:00,0.9K,worse,High,Claimant Count Change,0.2K,better,5:30am
148,5.2%,GBP,2015-12-16 00:00:00,5.3%,better,Medium,Unemployment Rate,5.3%,,5:30am
149,16.6,CHF,2015-12-16 00:00:00,,,Low,Credit Suisse Economic Expectations,0.0,,6:00am
150,0.2%,EUR,2015-12-16 00:00:00,0.1%,better,Medium,Final CPI y/y,0.1%,,6:00am
151,0.9%,EUR,2015-12-16 00:00:00,0.9%,,Low,Final Core CPI y/y,0.9%,,6:00am
152,19.9B,EUR,2015-12-16 00:00:00,22.3B,worse,Low,Trade Balance,19.9B,,6:00am
153,22.08B,CAD,2015-12-16 00:00:00,6.13B,better,Medium,Foreign Securities Purchases,3.35B,,9:30am
154,1.29M,USD,2015-12-16 00:00:00,1.16M,better,High,Building Permits,1.16M,,9:30am
155,1.17M,USD,2015-12-16 00:00:00,1.14M,better,Medium,Housing Starts,1.06M,,9:30am
