,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,1.29,CHF,2014-12-29 00:00:00,,,Low,UBS Consumption Indicator,1.32,better,3:00am
1,,EUR,2014-12-29 00:00:00,,,High,Greek Presidential Elections,,,12:00am
2,0.2%,GBP,2014-12-30 00:00:00,0.3%,,Medium,Nationwide HPI m/m,0.3%,,3:00am
3,-1.1%,EUR,2014-12-30 00:00:00,-0.7%,worse,Medium,Spanish Flash CPI y/y,-0.4%,,4:00am
4,3.1%,EUR,2014-12-30 00:00:00,2.6%,better,Medium,M3 Money Supply y/y,2.5%,,5:00am
5,-0.9%,EUR,2014-12-30 00:00:00,-0.9%,,Medium,Private Loans y/y,-1.1%,,5:00am
6,1.89|1.3,EUR,2014-12-30 00:00:00,,,Medium,Italian 10-y Bond Auction,2.08|1.6,,6:20am
7,4.5%,USD,2014-12-30 00:00:00,4.4%,,Low,S&P/CS Composite-20 HPI y/y,4.8%,,10:00am
8,92.6,USD,2014-12-30 00:00:00,94.6,worse,High,CB Consumer Confidence,91.0,better,11:00am
9,,JPY,2014-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
10,0.5%,AUD,2014-12-30 00:00:00,0.5%,,Low,Private Sector Credit m/m,0.6%,,8:30pm
11,49.6,CNY,2014-12-30 00:00:00,49.5,,High,Caixin Manufacturing PMI,49.5,,9:45pm
12,,EUR,2014-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
13,-10.9B,GBP,2014-12-31 00:00:00,-9.2B,worse,Low,Housing Equity Withdrawal q/q,-10.6B,,5:30am
14,298K,USD,2014-12-31 00:00:00,287K,worse,High,Unemployment Claims,281K,,9:30am
15,58.3,USD,2014-12-31 00:00:00,60.2,worse,Medium,Chicago PMI,60.8,,10:45am
16,0.8%,USD,2014-12-31 00:00:00,0.6%,better,Medium,Pending Home Sales m/m,-1.2%,,11:00am
17,-1.8M,USD,2014-12-31 00:00:00,0.2M,,Medium,Crude Oil Inventories,7.3M,,11:30am
18,-26B,USD,2014-12-31 00:00:00,-37B,,Low,Natural Gas Storage,-49B,,1:00pm
19,,NZD,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
20,,AUD,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
21,,CNY,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
22,,JPY,2014-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
23,50.1,CNY,2014-12-31 00:00:00,50.0,,High,Manufacturing PMI,50.3,,9:00pm
24,54.1,CNY,2014-12-31 00:00:00,,,Medium,Non-Manufacturing PMI,53.9,,9:09pm
25,,CHF,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
26,,EUR,2014-01-01 00:00:00,,,Non-Economic,Italian Bank Holiday,,,12:00am
27,,EUR,2014-01-01 00:00:00,,,Non-Economic,French Bank Holiday,,,12:00am
28,,EUR,2014-01-01 00:00:00,,,Non-Economic,German Bank Holiday,,,12:00am
29,,GBP,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
30,,CAD,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
31,,USD,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
32,,NZD,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
33,,CNY,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
34,,JPY,2014-01-01 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
35,-21.2%,AUD,2014-01-02 00:00:00,,,Low,Commodity Prices y/y,-18.4%,,1:30am
36,,CHF,2014-01-02 00:00:00,,,Non-Economic,Bank Holiday,,,12:00am
37,53.8,EUR,2014-01-02 00:00:00,54.9,worse,Medium,Spanish Manufacturing PMI,54.7,,4:15am
