,datetime,new_id,forecast_error_diff_deviation,forecast_error_diff_outlier_class,previous_error_diff_deviation,previous_error_diff_outlier_class,fe_accurate,fe_better,fe_worse,pe_accurate,pe_better,pe_worse,High,year,week,weekday,num_news,volatility_0_5_after,pips_agg_0_5_after,pips_candle_0_5_after,volatility_5_10_after,pips_agg_5_10_after,pips_candle_5_10_after,volatility_10_15_after,pips_agg_10_15_after,pips_candle_10_15_after,volatility_15_20_after,pips_agg_15_20_after,pips_candle_15_20_after,volatility_20_25_after,pips_agg_20_25_after,pips_candle_20_25_after,volatility_25_30_after,pips_agg_25_30_after,pips_candle_25_30_after,volatility_0_30_after,pips_agg_0_30_after,volatility_60_0_before,pips_agg_60_0_before,pips_agg_0_60_after,direction_agg_0_60_after
10,2007-01-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,5,2,1,33,20,18,8,16,-2,14,18,2,6,20,1,9,20,2,10,16,-2,33,16,36,-1,23,2
11,2007-02-01 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,5,3,1,7,6,4,6,1,-4,6,1,0,4,-1,0,8,-6,-4,4,-5,1,16,-8,26,13,1,1
12,2007-02-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,6,0,1,9,-9,-4,13,2,8,5,2,-1,5,8,4,7,5,-1,5,8,4,18,9,21,-14,11,1
13,2007-02-13 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,7,1,1,12,2,-4,17,17,15,9,15,-3,7,9,-5,3,11,0,7,6,-5,23,5,23,13,-9,1
14,2007-02-15 09:00:00,30,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,7,3,1,18,17,7,19,32,16,11,26,-6,10,34,3,10,34,1,8,27,-6,35,23,28,6,12,2
15,2007-02-16 08:30:00,23,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,7,4,1,13,13,7,7,16,3,20,-3,-18,10,-16,-7,10,-13,4,11,-9,6,36,-21,25,0,-16,0
16,2007-02-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,7,4,1,15,-7,-8,7,-2,4,4,-3,1,4,-4,-2,3,-4,0,4,-4,0,15,-5,26,12,-7,1
17,2007-02-21 08:30:00,7,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,8,2,1,26,-13,-6,19,-32,-17,10,-26,7,4,-29,-2,8,-35,-6,5,-30,3,33,-26,31,12,-22,0
18,2007-02-27 08:30:00,8,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,1,1,13,11,6,6,10,-1,6,12,3,11,6,-7,6,4,-3,12,11,7,15,-1,32,15,5,1
19,2007-02-28 08:30:00,26,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,9,2,1,14,-8,-6,15,4,11,8,0,-3,9,2,3,11,-5,-9,7,-5,1,20,-4,26,22,-10,1
20,2007-02-28 10:00:00,21,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,9,2,1,6,5,0,6,3,0,3,2,0,6,3,2,5,2,1,14,-8,-10,19,-3,20,-1,-11,1
21,2007-03-01 08:30:00,9,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,8,2,3,9,4,3,9,1,-2,6,-4,-3,5,-3,0,7,0,2,16,-1,19,-1,-1,1
22,2007-03-01 10:00:00,17,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,9,3,1,17,-14,-9,8,-11,2,8,-18,-6,22,-37,-18,15,-24,13,10,-30,-7,37,-18,40,-10,-37,0
23,2007-03-05 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,10,0,1,14,13,11,11,7,-5,7,9,2,7,9,-2,2,12,2,7,12,0,14,10,40,14,2,1
24,2007-03-06 10:00:00,24,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,10,1,1,6,0,-2,10,-4,-5,5,1,3,4,2,1,4,2,1,6,-2,-3,12,-1,18,10,5,1
25,2007-03-15 08:30:00,23,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,11,3,1,30,13,15,9,10,-3,8,4,-4,7,4,2,6,8,3,5,4,-5,30,11,30,-6,21,2
26,2007-03-15 09:00:00,30,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,11,3,1,14,6,8,13,15,11,8,10,-6,5,8,0,15,15,7,7,12,-3,26,17,30,-4,11,1
27,2007-03-16 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,11,4,1,10,-2,1,8,-1,2,10,3,4,8,2,-3,6,0,-2,5,1,0,13,4,14,-11,-10,1
28,2007-03-16 10:00:00,28,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,11,4,1,8,-3,-3,5,-1,2,4,-1,-1,7,-5,-3,4,-1,3,4,-3,-2,13,-1,23,-2,-3,1
29,2007-03-21 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,12,2,1,41,28,25,38,66,37,25,53,-13,21,69,14,15,58,-8,12,67,9,76,55,49,3,71,2
30,2007-03-23 10:00:00,14,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,12,4,1,16,-11,-11,9,-7,5,9,-14,-7,14,-24,-11,11,-24,-2,6,-24,0,32,-24,29,-9,-26,0
31,2007-03-26 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,0,1,21,22,17,14,33,12,4,32,-1,10,38,6,6,47,6,7,49,2,46,42,53,28,33,2
32,2007-03-27 10:00:00,4,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,1,1,11,-4,-6,6,-6,-1,8,1,6,16,14,12,8,17,3,3,15,-2,31,15,17,-1,8,1
33,2007-03-28 08:30:00,8,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,13,2,1,20,12,11,6,11,-1,3,10,-1,6,15,5,3,14,-2,10,8,-7,20,14,22,-1,10,1
34,2007-03-30 08:30:00,9,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,13,4,1,7,-4,-4,29,-34,-28,11,-24,9,7,-20,3,8,-16,4,5,-12,4,35,-16,20,16,-7,1
35,2007-04-02 10:00:00,17,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,0,1,12,8,7,5,9,1,4,8,0,10,1,-8,3,3,3,2,1,-2,12,2,15,-7,3,1
36,2007-04-03 10:00:00,24,1.0,0,1.0,0,0,1,0,1,0,0,1,2007,14,1,1,5,-4,-3,10,5,8,4,4,0,8,-1,-6,2,-1,0,3,0,1,13,0,12,0,2,1
37,2007-04-04 08:15:00,0,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,14,2,1,7,6,6,3,8,2,3,8,0,2,7,-1,9,-3,-9,6,-5,-2,13,-3,12,4,8,1
38,2007-04-04 10:00:00,18,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,14,2,1,13,9,9,10,7,-2,5,7,0,8,14,7,5,14,-1,5,14,0,20,14,20,-5,16,2
39,2007-04-13 10:00:00,28,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,15,4,1,16,-4,-1,5,-9,-4,5,-9,0,8,-3,6,8,-8,-5,7,-4,4,19,-5,20,8,-23,0
40,2007-04-16 09:00:00,30,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,16,0,1,17,-2,-3,3,-3,-1,6,0,3,2,0,0,3,-2,-2,9,-9,-7,22,-3,21,2,-4,1
41,2007-04-17 08:30:00,7,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,16,1,1,23,16,16,8,17,0,16,32,15,18,47,15,11,40,-7,4,39,-1,50,40,27,3,36,2
42,2007-04-25 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,17,2,1,12,-8,-8,13,-16,-8,11,-13,3,3,-13,0,5,-8,5,3,-7,1,25,-8,21,-9,-5,1
43,2007-04-25 10:00:00,21,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,2,1,16,16,16,6,14,-1,13,23,9,9,18,-5,11,17,-1,5,16,-1,26,17,24,0,17,2
44,2007-04-27 08:30:00,1,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,17,4,1,34,29,29,14,20,-9,11,19,-1,12,12,-6,9,14,4,8,15,1,34,14,43,8,20,2
45,2007-04-30 08:30:00,9,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,18,0,1,9,1,-2,6,-1,-2,8,7,7,8,13,7,3,10,-3,4,9,-1,17,7,22,5,14,2
46,2007-05-02 08:15:00,0,1.0,0,1.0,0,0,0,1,0,0,1,1,2007,18,2,1,7,7,4,5,6,0,3,5,-2,4,4,-1,4,6,3,3,6,-1,8,4,25,17,10,1
47,2007-05-03 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,18,3,1,16,-15,-12,7,-12,4,6,-11,1,4,-14,-3,12,-24,-9,6,-19,4,21,-20,36,-15,-6,1
48,2007-05-09 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,19,2,1,28,-27,-27,9,-24,3,8,-22,2,8,-25,-1,6,-27,-3,6,-30,-3,33,-27,29,6,-26,0
49,2007-05-10 08:30:00,31,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,19,3,1,14,11,12,16,0,-12,7,4,5,7,-1,-4,21,-26,-20,5,-25,1,42,-25,19,4,-26,0
50,2007-05-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,20,1,1,22,20,18,9,14,-7,6,20,5,4,18,-2,5,16,-2,3,16,0,22,14,32,7,4,1
51,2007-05-15 09:00:00,30,1.0,0,0.0,0,0,0,1,1,0,0,1,2007,20,1,1,13,-8,-9,8,-11,-2,3,-9,2,2,-9,1,3,-10,-2,5,-14,-4,18,-11,30,22,-9,1
52,2007-05-18 10:00:00,28,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,20,4,1,9,-6,-7,6,-4,3,14,7,11,6,2,-4,7,5,4,9,12,7,23,4,10,4,8,1
53,2007-05-24 08:30:00,8,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,11,-9,-10,6,-14,-3,5,-10,5,4,-8,3,2,-8,-1,9,-4,4,18,-9,19,11,3,1
54,2007-05-24 10:00:00,21,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,21,3,1,22,-20,-19,9,-25,-5,9,-27,-2,5,-26,-1,7,-24,3,2,-24,0,29,-23,33,3,-14,0
55,2007-05-25 10:00:00,14,1.0,0,1.0,0,0,0,1,0,1,0,1,2007,21,4,1,8,6,4,23,22,17,6,18,-4,8,22,4,3,22,0,6,21,-1,24,20,10,-4,13,2
56,2007-05-29 10:00:00,4,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,22,1,1,13,-14,-11,4,-15,-2,3,-12,3,1,-11,0,5,-15,-4,6,-21,-5,19,-13,17,-2,-17,0
57,2007-05-30 08:15:00,0,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,2,1,5,4,4,6,2,-1,2,2,0,4,4,1,4,2,-2,3,1,-1,8,2,23,-12,5,1
58,2007-05-31 08:30:00,26,1.0,0,1.0,0,0,0,1,1,0,0,1,2007,22,3,1,8,5,2,6,6,2,5,5,0,3,5,1,6,0,-4,4,2,2,10,-3,29,19,0,1
59,2007-06-05 10:00:00,18,1.0,0,0.0,0,0,1,0,1,0,0,1,2007,23,1,1,10,-3,3,3,-2,1,4,-2,0,6,-6,-3,12,-12,-5,3,-14,-1,18,-7,24,-19,0,1
60,2007-06-08 08:30:00,31,2.06,1,7.8,3,0,1,0,0,1,0,1,2007,23,4,1,12,-10,-9,7,-10,0,11,-18,-9,3,-15,2,3,-16,-1,6,-20,-5,19,-14,33,21,-4,1
61,2007-06-14 08:30:00,23,0.86,0,0.0,0,0,1,0,1,0,0,1,2007,24,3,1,17,-17,-16,14,-1,13,17,10,12,6,3,-5,6,-4,-6,5,-6,-3,33,-2,32,-11,-2,1
62,2007-06-15 08:30:00,7,-1.41,3,0.0,0,0,0,1,1,0,0,1,2007,24,4,1,17,-2,-4,13,5,7,11,13,9,9,21,8,8,15,-4,7,16,1,24,13,27,9,29,2
63,2007-06-15 09:00:00,30,0.35,1,-2.13,3,0,1,0,0,0,1,1,2007,24,4,1,9,1,2,4,-2,-2,4,1,2,18,20,16,10,15,-7,3,14,-1,26,16,31,22,-1,1
64,2007-06-15 10:00:00,28,-1.33,1,-0.28,0,0,0,1,1,0,0,1,2007,24,4,1,11,10,8,9,4,-6,5,8,5,3,8,0,6,9,0,5,12,4,11,6,29,0,24,2
65,2007-06-25 10:00:00,14,0.1,0,-0.69,1,0,1,0,1,0,0,1,2007,26,0,1,7,2,1,3,3,1,7,-4,-6,4,0,4,3,-1,0,3,0,1,8,-2,8,-1,-10,1
66,2007-06-27 08:30:00,8,-0.6,0,1.61,1,0,0,1,0,1,0,1,2007,26,2,1,8,3,2,5,1,-2,5,-1,-1,7,-8,-6,7,-2,5,6,-8,-6,18,-3,22,3,-3,1
67,2007-06-28 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,3,1,12,2,4,8,7,4,5,7,1,7,2,-4,5,-2,-4,3,-2,0,15,0,17,-14,-10,1
68,2007-06-29 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,26,4,1,9,-5,-6,6,-2,3,7,-6,-3,3,-5,1,4,-2,3,2,0,1,11,-2,22,13,4,1
69,2007-07-02 10:00:00,17,0.43,0,0.0,0,0,1,0,1,0,0,1,2007,27,0,1,6,0,-1,2,-1,-1,13,10,10,8,14,4,5,13,-1,8,21,8,26,12,10,-3,23,2
70,2007-07-03 10:00:00,24,-1.28,1,-0.58,1,0,0,1,0,0,1,1,2007,27,1,1,8,-3,-5,7,-11,-6,7,-4,7,4,-7,-3,2,-7,1,7,-12,-5,19,-9,13,-1,-10,1
71,2007-07-05 10:00:00,18,0.79,0,0.0,0,0,1,0,1,0,0,1,2007,27,3,1,8,-10,-8,9,-7,4,5,-7,-1,12,-18,-10,11,-15,5,6,-19,-4,24,-13,27,-19,-10,1
72,2007-07-12 08:30:00,31,0.0,0,-1.32,0,1,0,0,1,0,0,1,2007,28,3,1,9,7,7,5,9,2,17,-6,-14,6,-2,5,17,-20,-16,6,-17,3,30,-20,11,0,-10,1
73,2007-07-13 10:00:00,28,2.41,2,1.14,3,0,1,0,0,1,0,1,2007,28,4,1,9,-11,-9,10,-5,6,4,-5,2,3,-2,3,3,-2,0,2,-3,-1,14,0,23,0,-21,0
74,2007-07-17 08:30:00,23,-1.15,3,0.0,0,0,0,1,1,0,0,1,2007,29,1,1,11,1,0,3,0,1,14,13,13,4,10,-3,3,9,-2,2,8,-1,21,8,14,0,1,1
75,2007-07-17 09:00:00,30,1.55,2,-0.49,2,0,1,0,0,0,1,1,2007,29,1,1,4,-6,-3,5,-3,3,4,-6,-2,3,-7,-1,3,-5,2,4,-10,-4,9,-3,21,9,0,1
76,2007-07-18 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,29,2,1,11,-12,-11,12,-22,-9,10,-26,1,9,-26,2,7,-19,6,7,-22,-3,27,-18,19,3,-11,1
77,2007-07-25 10:00:00,14,-0.39,1,-0.31,0,0,0,1,1,0,0,1,2007,30,2,1,17,-3,-2,22,-15,-11,11,-10,5,10,-14,-3,10,-15,0,11,-15,0,29,-14,27,-10,-20,0
78,2007-07-26 08:30:00,8,-0.62,0,0.9,1,0,0,1,0,1,0,1,2007,30,3,1,15,-3,-1,9,-5,0,9,-4,-1,9,-5,-2,9,-9,-4,9,-6,2,17,-6,41,30,-2,1
79,2007-07-26 10:00:00,21,-0.61,0,-0.95,0,0,0,1,0,0,1,1,2007,30,3,1,21,13,11,19,3,-10,13,2,0,8,2,-2,13,8,5,12,2,-5,27,5,39,4,3,1
80,2007-07-27 08:30:00,1,1.0,0,1.0,0,0,1,0,0,0,1,1,2007,30,4,1,14,4,3,18,15,10,10,18,4,10,18,0,12,13,-4,12,6,-7,27,12,23,11,9,1
81,2007-07-31 08:30:00,9,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,31,1,1,10,-3,-1,9,-5,-3,10,-10,-4,7,-10,-1,8,-13,-3,10,-10,2,21,-10,22,8,-12,0
82,2007-07-31 10:00:00,4,2.78,2,1.05,1,0,1,0,0,1,0,1,2007,31,1,1,10,-3,-2,9,-7,-5,12,-14,-7,12,-13,-2,12,-13,-1,12,-17,-1,27,-15,20,-1,-9,1
83,2007-08-03 10:00:00,18,-1.11,1,0.0,0,0,0,1,1,0,0,1,2007,31,4,1,11,1,-1,10,-2,-3,9,-3,0,9,2,3,20,16,13,21,31,15,41,14,39,26,24,2
84,2007-08-07 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,32,1,1,19,-3,-2,13,2,7,17,11,8,15,19,8,17,28,8,10,20,-8,37,29,20,-3,26,2
85,2007-08-15 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,33,2,1,11,-4,-4,9,-3,2,8,-6,-3,11,-5,1,17,-16,-10,13,-13,5,24,-18,19,8,-13,0
86,2007-08-15 09:00:00,30,2.06,1,-0.14,0,0,1,0,1,0,0,1,2007,33,2,1,12,-5,-4,15,-2,2,16,7,9,12,9,1,14,1,-8,12,6,6,21,1,25,-9,18,2
87,2007-08-17 10:00:00,28,-2.03,1,-1.48,1,0,0,1,0,0,1,1,2007,33,4,1,14,10,11,10,13,4,8,14,3,9,11,-3,13,16,5,9,16,1,27,16,36,-7,47,2
88,2007-08-24 08:30:00,8,2.59,1,-0.71,1,0,1,0,0,0,1,1,2007,34,4,1,12,-7,-7,24,2,9,14,2,-1,14,6,3,16,14,8,12,18,3,32,15,26,1,-6,1
89,2007-08-24 10:00:00,21,0.46,1,0.58,1,0,1,0,0,1,0,1,2007,34,4,1,15,11,11,16,15,3,13,4,-9,13,10,6,13,6,-3,12,4,-2,22,6,37,-5,7,1
90,2007-08-27 10:00:00,14,0.0,0,-0.48,0,1,0,0,1,0,0,1,2007,35,0,1,12,-3,-2,11,-4,0,8,-4,-3,7,-5,-1,6,-3,1,6,-3,1,16,-3,16,-1,-14,0
91,2007-08-28 10:00:00,4,-0.09,0,-0.52,1,1,0,0,0,0,1,1,2007,35,1,1,10,1,2,16,-10,-11,11,-5,3,11,-3,-2,13,-8,-6,13,-6,2,20,-7,23,-14,-5,1
92,2007-08-30 08:30:00,26,0.0,0,1.0,0,1,0,0,1,0,0,1,2007,35,3,1,14,2,2,15,-6,-7,11,-3,3,11,5,5,16,8,4,9,9,1,24,8,39,25,2,1
93,2007-08-31 08:30:00,9,-1.12,0,2.24,3,0,0,1,0,1,0,1,2007,35,4,1,8,1,0,11,-2,-3,9,-2,0,10,-4,-1,13,-9,-5,10,-8,1,20,-10,28,-1,-18,0
94,2007-09-04 10:00:00,17,-0.19,0,0.0,0,1,0,0,1,0,0,1,2007,36,1,1,12,-1,-3,11,2,3,8,5,0,11,-1,-5,8,3,2,14,-3,-6,16,1,27,20,7,1
95,2007-09-05 10:00:00,24,-3.81,1,0.0,0,0,0,1,1,0,0,1,2007,36,2,1,11,9,4,32,30,24,37,60,30,14,57,-3,11,55,0,13,57,2,69,50,25,11,59,2
96,2007-09-06 10:00:00,18,0.37,0,0.0,0,0,1,0,1,0,0,1,2007,36,3,1,11,-6,-7,11,-5,1,16,1,6,12,5,3,11,3,-3,12,1,-2,23,2,29,20,13,2
97,2007-09-11 08:30:00,31,-0.06,0,-9.69,2,1,0,0,0,0,1,1,2007,37,1,1,15,-10,-10,8,-6,3,9,-4,2,12,-2,2,7,-1,1,6,3,3,16,0,20,7,3,1
98,2007-09-14 10:00:00,28,-0.1,0,-0.07,0,1,0,0,1,0,0,1,2007,37,4,1,11,0,0,14,-7,-8,20,-22,-14,12,-23,-3,10,-24,0,13,-22,7,35,-29,22,1,-17,0
99,2007-09-18 08:30:00,23,-6.16,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,16,7,8,19,16,8,14,8,-6,9,6,-1,6,8,1,7,6,-2,22,9,28,9,10,1
100,2007-09-18 09:00:00,30,-2.65,1,-39.72,3,0,0,1,0,0,1,1,2007,38,1,1,20,15,12,10,12,-3,11,13,2,9,10,-2,10,4,-5,9,1,-2,22,0,35,15,-4,1
101,2007-09-18 14:15:00,15,-1.25,3,0.0,0,0,0,1,1,0,0,1,2007,38,1,1,75,41,39,24,32,-9,23,50,19,21,68,16,22,70,1,15,67,-3,87,68,91,12,84,2
102,2007-09-19 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,38,2,1,18,-3,-3,24,-20,-17,11,-18,1,13,-6,8,10,-9,-3,12,0,6,35,-6,29,17,1,1
103,2007-09-26 08:30:00,8,-0.46,0,-0.32,0,0,0,1,0,0,1,1,2007,39,2,1,14,-5,-6,11,-9,-4,6,-8,-1,6,-12,-4,8,-12,-1,8,-11,1,22,-13,29,14,-11,1
104,2007-09-27 10:00:00,21,-0.41,0,-0.23,0,0,0,1,0,0,1,1,2007,39,3,1,17,-11,-12,13,-13,-2,9,-10,2,12,-16,-6,17,-22,-6,9,-22,-1,31,-22,18,3,-21,0
105,2007-09-28 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,39,4,1,13,-9,-7,13,-2,6,9,1,5,14,0,-1,25,19,18,10,14,-5,35,21,25,-5,12,2
106,2007-10-01 10:00:00,17,-0.51,0,0.0,0,0,0,1,1,0,0,1,2007,40,0,1,14,9,8,13,14,3,8,13,0,14,12,-3,9,11,1,14,4,-7,23,10,19,0,15,2
107,2007-10-02 10:00:00,24,-1.24,0,4.95,3,0,0,1,0,1,0,1,2007,40,1,1,18,-6,-8,12,-14,-7,13,-17,-3,7,-18,-2,8,-19,1,9,-18,-1,32,-19,29,20,-27,0
108,2007-10-03 08:15:00,0,-0.23,0,-3.71,0,1,0,0,0,0,1,1,2007,40,2,1,11,-5,-7,10,0,4,9,-1,0,6,-4,-1,10,-6,-2,8,-7,-5,16,-4,29,14,-8,1
109,2007-10-03 10:00:00,18,-0.06,0,0.0,0,1,0,0,1,0,0,1,2007,40,2,1,13,-11,-11,13,-16,-7,11,-11,5,16,-19,-9,9,-19,1,10,-21,-2,27,-19,18,1,-38,0
110,2007-10-11 08:30:00,31,0.35,0,0.0,0,0,1,0,1,0,0,1,2007,41,3,1,20,-18,-18,15,-3,10,26,-19,-16,10,-23,-2,11,-26,-4,14,-19,7,31,-26,30,6,-36,0
111,2007-10-12 10:00:00,28,-0.63,0,-0.3,0,0,0,1,1,0,0,1,2007,41,4,1,14,4,3,22,-7,-12,13,0,7,14,0,3,12,-1,-1,8,-2,0,26,-3,48,-28,-10,1
112,2007-10-16 09:00:00,30,-2.62,1,-6.71,0,0,0,1,1,0,0,1,2007,42,1,1,33,23,23,13,23,2,16,13,-9,13,15,2,11,11,-4,19,7,-6,34,13,55,4,5,1
113,2007-10-17 08:30:00,7,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,42,2,1,20,-2,-2,17,-4,-3,19,5,10,12,4,1,11,6,3,11,10,4,24,6,32,15,14,2
114,2007-10-24 10:00:00,14,-2.59,1,-1.04,1,0,0,1,1,0,0,1,2007,43,2,1,20,-4,-7,14,-8,-4,13,-15,-5,10,-12,4,10,-6,6,10,-8,-3,34,-8,27,4,-26,0
115,2007-10-25 08:30:00,8,-0.22,0,2.0,2,0,0,1,0,1,0,1,2007,43,3,1,13,2,2,24,21,19,24,27,4,12,24,-2,10,24,1,10,27,2,40,25,22,3,14,2
116,2007-10-25 10:00:00,21,0.0,0,-4.61,2,1,0,0,0,0,1,1,2007,43,3,1,13,-7,-6,12,-2,5,17,6,9,13,-2,-7,14,1,2,11,-4,-6,21,3,27,-15,-11,1
117,2007-10-30 10:00:00,4,-1.15,1,-0.27,1,0,0,1,1,0,0,1,2007,44,1,1,21,18,17,8,18,0,11,11,-6,7,10,0,10,12,3,11,15,5,21,9,30,3,13,2
118,2007-10-31 08:30:00,1,1.0,0,1.0,0,0,1,0,0,1,0,1,2007,44,2,1,14,-8,-6,24,-21,-12,12,-24,-3,15,-19,3,15,-12,8,13,-15,-2,29,-11,27,-8,4,1
119,2007-10-31 14:15:00,15,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,2,1,25,1,3,19,-1,-4,9,-1,0,12,6,7,21,14,8,27,40,25,64,17,41,-4,27,2
120,2007-11-01 08:30:00,9,0.0,0,0.0,0,1,0,0,1,0,0,1,2007,44,3,1,16,-7,-6,10,-4,4,13,1,5,12,-1,-3,20,-15,-13,16,-7,7,26,-13,22,8,-7,1
121,2007-11-01 10:00:00,17,-1.0,0,0.0,0,0,0,1,1,0,0,1,2007,44,3,1,20,-12,-13,11,-12,0,12,-6,3,13,-13,-7,14,-10,4,16,-1,6,22,-8,28,-3,0,1
