,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,JPY,2012-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,0.0%,AUD,2012-12-30 19:30:00,0.3%,worse,Medium,Private Sector Credit m/m,0.1%,,52
2,51.5,CNY,2012-12-30 20:45:00,50.9,better,Medium,Caixin Manufacturing PMI,50.9,,52
3,,EUR,2012-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
4,-8.0B,GBP,2012-12-31 04:30:00,-9.1B,better,Low,Housing Equity Withdrawal q/q,-9.4B,better,52
5,,NZD,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,AUD,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
7,,JPY,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
8,,CNY,2012-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
9,50.6,CNY,2012-12-31 20:00:00,51.0,worse,High,Manufacturing PMI,50.6,,52
10,,JPY,2012-12-23 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,EUR,2012-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
12,,NZD,2012-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,,AUD,2012-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
14,-0.4%,JPY,2012-12-24 18:50:00,-0.6%,better,Low,SPPI y/y,-0.7%,,52
15,,CHF,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
16,,EUR,2012-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
17,,EUR,2012-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
18,,EUR,2012-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
19,,GBP,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
20,,CAD,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,USD,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
22,,NZD,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
23,,AUD,2012-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
24,,JPY,2012-12-25 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
25,,CHF,2012-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
26,,EUR,2012-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
27,,EUR,2012-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
28,,GBP,2012-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
29,,CAD,2012-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
30,4.3%,USD,2012-12-26 09:00:00,3.9%,better,Medium,S&P/CS Composite-20 HPI y/y,3.0%,,52
31,5,USD,2012-12-26 09:59:00,12,worse,Low,Richmond Manufacturing Index,9,,52
32,10.3%,JPY,2012-12-27 00:00:00,10.4%,,Low,Housing Starts y/y,25.2%,,52
33,1.23,CHF,2012-12-27 02:00:00,,,Low,UBS Consumption Indicator,1.30,,52
34,33.6K,GBP,2012-12-27 04:30:00,34.6K,worse,Medium,High Street Lending,33.1K,,52
35,350K,USD,2012-12-27 08:30:00,365K,better,High,Unemployment Claims,362K,,52
36,65.1,USD,2012-12-27 10:00:00,70.3,worse,High,CB Consumer Confidence,71.5,worse,52
37,377K,USD,2012-12-27 10:00:00,382K,worse,High,New Home Sales,361K,worse,52
38,45.0,JPY,2012-12-27 18:15:00,,,Low,Final Manufacturing PMI,46.5,,52
39,0.2%,JPY,2012-12-27 18:30:00,0.8%,worse,Medium,Household Spending y/y,-0.1%,,52
40,-0.6%,JPY,2012-12-27 18:30:00,-0.5%,worse,Medium,Tokyo Core CPI y/y,-0.5%,,52
41,-0.1%,JPY,2012-12-27 18:30:00,-0.1%,,Low,National Core CPI y/y,0.0%,,52
42,4.1%,JPY,2012-12-27 18:30:00,4.2%,better,Low,Unemployment Rate,4.2%,,52
43,-1.7%,JPY,2012-12-27 18:50:00,-0.5%,worse,Medium,Prelim Industrial Production m/m,1.6%,worse,52
44,1.3%,JPY,2012-12-27 18:50:00,1.2%,,Medium,Retail Sales y/y,-1.2%,,52
45,-1.1%,JPY,2012-12-27 20:30:00,-0.4%,worse,Medium,Average Cash Earnings y/y,-0.4%,worse,52
46,0.2%,EUR,2012-12-28 02:45:00,0.0%,better,Medium,French Consumer Spending m/m,-0.1%,better,52
47,44.5,EUR,2012-12-28 04:10:00,,,Low,Retail PMI,45.8,,52
48,4.48|1.5,EUR,2012-12-28 05:13:00,,,Medium,Italian 10-y Bond Auction,4.45|1.2,,52
49,51.6,USD,2012-12-28 09:45:00,51.2,better,Medium,Chicago PMI,50.4,,52
50,1.7%,USD,2012-12-28 10:00:00,-0.3%,better,High,Pending Home Sales m/m,5.0%,worse,52
51,-72B,USD,2012-12-28 10:30:00,-73B,,Low,Natural Gas Storage,-82B,,52
52,-0.6M,USD,2012-12-28 11:00:00,-1.6M,,Medium,Crude Oil Inventories,-1.0M,,52
53,,JPY,2012-12-16 00:00:00,,,High,Lower House Elections,,,51
54,111.1,NZD,2012-12-16 16:00:00,,,Low,Westpac Consumer Sentiment,102.5,,51
