,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,47.7,EUR,2013-12-30 04:10:00,,,Low,Retail PMI,48.0,,52
1,-10.4B,GBP,2013-12-30 04:30:00,-7.2B,worse,Low,Housing Equity Withdrawal q/q,-12.5B,better,52
2,4.11|1.3,EUR,2013-12-30 05:12:00,,,Medium,Italian 10-y Bond Auction,4.01|1.5,,52
3,0.2%,USD,2013-12-30 10:00:00,1.1%,worse,High,Pending Home Sales m/m,-1.2%,worse,52
4,,JPY,2013-12-30 00:00:00,,,Non-Economic,Bank Holiday,,,52
5,0.3%,AUD,2013-12-30 19:30:00,0.4%,worse,Medium,Private Sector Credit m/m,0.3%,,52
6,,EUR,2013-12-31 00:00:00,,,Non-Economic,German Bank Holiday,,,52
7,13.6%,USD,2013-12-31 09:00:00,13.4%,better,Medium,S&P/CS Composite-20 HPI y/y,13.3%,,52
8,59.1,USD,2013-12-31 09:45:00,61.3,worse,Medium,Chicago PMI,63.0,,52
9,78.1,USD,2013-12-31 10:00:00,76.5,better,High,CB Consumer Confidence,72.0,better,52
10,,NZD,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,AUD,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,,JPY,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,,CNY,2013-12-31 00:00:00,,,Non-Economic,Bank Holiday,,,52
14,51.0,CNY,2013-12-31 20:00:00,51.3,,High,Manufacturing PMI,51.4,,52
15,,JPY,2013-12-22 00:00:00,,,Non-Economic,Bank Holiday,,,52
16,1.43,CHF,2013-12-23 02:00:00,,,Low,UBS Consumption Indicator,1.26,worse,52
17,0.1%,EUR,2013-12-23 02:00:00,0.4%,worse,Low,German Import Prices m/m,-0.7%,,52
18,0.3%,CAD,2013-12-23 08:30:00,0.1%,better,High,GDP m/m,0.3%,,52
19,0.1%,USD,2013-12-23 08:30:00,0.1%,,Medium,Core PCE Price Index m/m,0.1%,,52
20,0.5%,USD,2013-12-23 08:30:00,0.5%,,Medium,Personal Spending m/m,0.4%,better,52
21,0.2%,USD,2013-12-23 08:30:00,0.4%,worse,Low,Personal Income m/m,-0.1%,,52
22,82.5,USD,2013-12-23 09:55:00,82.9,,Medium,Revised UoM Consumer Sentiment,82.5,,52
23,3.0%,USD,2013-12-23 09:55:00,,,Low,Revised UoM Inflation Expectations,3.0%,,52
24,,JPY,2013-12-24 00:00:00,,,Low,BOJ Monthly Report,,,52
25,,EUR,2013-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
26,1.4%,EUR,2013-12-24 02:45:00,0.3%,better,Medium,French Consumer Spending m/m,-0.1%,better,52
27,45.0K,GBP,2013-12-24 04:30:00,44.5K,better,Medium,High Street Lending,43.3K,better,52
28,1.2%,USD,2013-12-24 08:30:00,0.9%,better,High,Core Durable Goods Orders m/m,0.4%,better,52
29,3.5%,USD,2013-12-24 08:30:00,1.7%,better,Medium,Durable Goods Orders m/m,-1.6%,better,52
30,0.5%,USD,2013-12-24 09:00:00,0.5%,,Low,HPI m/m,0.2%,worse,52
31,13,USD,2013-12-24 09:59:00,15,worse,Low,Richmond Manufacturing Index,13,,52
32,464K,USD,2013-12-24 10:00:00,449K,better,High,New Home Sales,474K,better,52
33,,NZD,2013-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
34,,AUD,2013-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
35,1.0%,JPY,2013-12-24 18:50:00,0.8%,better,Low,SPPI y/y,0.8%,,52
36,,JPY,2013-12-24 23:00:00,,,Medium,BOJ Gov Kuroda Speaks,,,52
37,,CHF,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
38,,EUR,2013-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
39,,EUR,2013-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
40,,EUR,2013-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
41,,GBP,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
42,,CAD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
43,,USD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
44,,NZD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
45,,AUD,2013-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
46,,JPY,2013-12-25 18:50:00,,,Medium,Monetary Policy Meeting Minutes,,,52
47,14.1%,JPY,2013-12-26 00:00:00,9.5%,better,Low,Housing Starts y/y,7.1%,,52
48,,CHF,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
49,,EUR,2013-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
50,,EUR,2013-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
51,,GBP,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
52,,CAD,2013-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
53,338K,USD,2013-12-26 08:30:00,346K,better,High,Unemployment Claims,380K,,52
54,55.2,JPY,2013-12-26 18:15:00,,,Low,Final Manufacturing PMI,55.1,,52
55,0.2%,JPY,2013-12-26 18:30:00,1.9%,worse,Medium,Household Spending y/y,0.9%,,52
56,0.7%,JPY,2013-12-26 18:30:00,0.7%,,Medium,Tokyo Core CPI y/y,0.6%,,52
57,1.2%,JPY,2013-12-26 18:30:00,1.1%,better,Low,National Core CPI y/y,0.9%,,52
58,4.0%,JPY,2013-12-26 18:30:00,3.9%,worse,Low,Unemployment Rate,4.0%,,52
59,0.1%,JPY,2013-12-26 18:50:00,0.6%,worse,Medium,Prelim Industrial Production m/m,0.5%,,52
60,4.0%,JPY,2013-12-26 18:50:00,2.9%,better,Medium,Retail Sales y/y,2.4%,,52
61,0.5%,JPY,2013-12-26 20:30:00,0.4%,better,Medium,Average Cash Earnings y/y,-0.1%,worse,52
62,-177B,USD,2013-12-27 10:30:00,-177B,,Low,Natural Gas Storage,-285B,,52
63,-4.7M,USD,2013-12-27 11:00:00,-1.9M,,Medium,Crude Oil Inventories,-2.9M,,52
64,120.1,NZD,2013-12-15 16:00:00,,,Low,Westpac Consumer Sentiment,115.4,,51
65,-1.9%,GBP,2013-12-15 18:14:00,,,Low,Rightmove HPI m/m,-2.4%,,51
66,16,JPY,2013-12-15 18:50:00,15,better,Medium,Tankan Manufacturing Index,12,,51
67,20,JPY,2013-12-15 18:50:00,16,better,Medium,Tankan Non-Manufacturing Index,14,,51
68,50.5,CNY,2013-12-15 20:45:00,51.0,worse,High,Caixin Flash Manufacturing PMI,50.8,better,51
69,47.1,EUR,2013-12-16 03:00:00,49.1,worse,High,French Flash Manufacturing PMI,48.4,better,51
70,47.4,EUR,2013-12-16 03:00:00,48.9,worse,Medium,French Flash Services PMI,48.0,worse,51
71,54.2,EUR,2013-12-16 03:30:00,53.1,better,High,German Flash Manufacturing PMI,52.7,,51
72,54.0,EUR,2013-12-16 03:30:00,55.2,worse,Medium,German Flash Services PMI,55.7,better,51
73,52.7,EUR,2013-12-16 04:00:00,51.9,better,Medium,Flash Manufacturing PMI,51.6,,51
74,51.0,EUR,2013-12-16 04:00:00,51.5,worse,Medium,Flash Services PMI,51.2,,51
75,4.07B,EUR,2013-12-16 04:00:00,1.24B,better,Low,Italian Trade Balance,0.83B,,51
76,14.5B,EUR,2013-12-16 05:00:00,15.2B,worse,Low,Trade Balance,12.4B,worse,51
77,,EUR,2013-12-16 06:00:00,,,Medium,German Buba Monthly Report,,,51
78,4.41B,CAD,2013-12-16 08:30:00,9.24B,worse,Medium,Foreign Securities Purchases,8.29B,,51
79,1.0,USD,2013-12-16 08:30:00,4.9,worse,Medium,Empire State Manufacturing Index,-2.2,,51
80,3.0%,USD,2013-12-16 08:30:00,2.9%,,Medium,Revised Nonfarm Productivity q/q,1.9%,,51
81,-1.4%,USD,2013-12-16 08:30:00,-1.5%,,Low,Revised Unit Labor Costs q/q,-0.6%,,51
82,,EUR,2013-12-16 09:00:00,,,High,ECB President Draghi Speaks,,,51
83,54.4,USD,2013-12-16 09:00:00,54.9,worse,Medium,Flash Manufacturing PMI,54.7,better,51
84,35.4B,USD,2013-12-16 09:00:00,31.4B,better,Medium,TIC Long-Term Purchases,31.3B,better,51
85,79.0%,USD,2013-12-16 09:15:00,78.5%,better,Medium,Capacity Utilization Rate,78.2%,,51
86,1.1%,USD,2013-12-16 09:15:00,0.6%,better,Medium,Industrial Production m/m,0.1%,better,51
87,,CHF,2013-12-16 12:00:00,,,Medium,Gov Board Member Zurbrugg Speaks,,,51
88,0.5%,AUD,2013-12-16 18:00:00,,,Medium,CB Leading Index m/m,0.3%,,51
89,,AUD,2013-12-16 19:15:00,,,Medium,RBA Assist Gov Debelle Speaks,,,51
90,,AUD,2013-12-16 19:30:00,,,High,Monetary Policy Meeting Minutes,,,51
91,1.8%,AUD,2013-12-16 19:30:00,,,Medium,New Motor Vehicle Sales m/m,-0.9%,worse,51
92,,AUD,2013-12-16 20:30:00,,,High,Mid-Year Economic and Fiscal Outlook,,,51
93,2.1%,GBP,2013-12-17 04:30:00,2.2%,worse,High,CPI y/y,2.2%,,51
94,-0.7%,GBP,2013-12-17 04:30:00,-0.5%,worse,Medium,PPI Input m/m,-0.4%,better,51
95,2.6%,GBP,2013-12-17 04:30:00,2.7%,worse,Medium,RPI y/y,2.6%,,51
96,1.8%,GBP,2013-12-17 04:30:00,1.8%,,Low,Core CPI y/y,1.7%,,51
97,5.5%,GBP,2013-12-17 04:30:00,4.2%,better,Low,ONS HPI y/y,3.8%,,51
98,-0.2%,GBP,2013-12-17 04:30:00,-1.2%,better,Low,PPI Output m/m,-0.3%,,51
