,actual,country,datetime,forecast,forecast_error,impact,new,previous,previous_error,week
0,,JPY,2018-12-23 00:00:00,,,Non-Economic,Bank Holiday,,,52
1,,EUR,2018-12-24 00:00:00,,,Non-Economic,German Bank Holiday,,,52
2,,NZD,2018-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
3,,AUD,2018-12-24 00:00:00,,,Non-Economic,Bank Holiday,,,52
4,1.2%,JPY,2018-12-24 18:50:00,1.3%,worse,Low,SPPI y/y,1.3%,,52
5,,CHF,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
6,,EUR,2018-12-25 00:00:00,,,Non-Economic,French Bank Holiday,,,52
7,,EUR,2018-12-25 00:00:00,,,Non-Economic,German Bank Holiday,,,52
8,,EUR,2018-12-25 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
9,,GBP,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
10,,CAD,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
11,,USD,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
12,,NZD,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
13,,AUD,2018-12-25 00:00:00,,,Non-Economic,Bank Holiday,,,52
14,,JPY,2018-12-25 18:50:00,,,Low,Monetary Policy Meeting Minutes,,,52
15,,JPY,2018-12-25 23:00:00,,,Medium,BOJ Gov Kuroda Speaks,,,52
16,0.5%,JPY,2018-12-26 00:00:00,0.6%,worse,Low,BOJ Core CPI y/y,0.6%,,52
17,,CHF,2018-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
18,,EUR,2018-12-26 00:00:00,,,Non-Economic,German Bank Holiday,,,52
19,,EUR,2018-12-26 00:00:00,,,Non-Economic,Italian Bank Holiday,,,52
20,,GBP,2018-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
21,,CAD,2018-12-26 00:00:00,,,Non-Economic,Bank Holiday,,,52
22,5.0%,USD,2018-12-26 09:00:00,4.8%,better,Low,S&P/CS Composite-20 HPI y/y,5.2%,,52
23,-8,USD,2018-12-26 09:59:00,16,worse,Low,Richmond Manufacturing Index,14,,52
24,-0.6%,JPY,2018-12-27 00:00:00,-0.2%,worse,Low,Housing Starts y/y,0.3%,,52
25,-22.2,CHF,2018-12-27 04:00:00,,,Low,Credit Suisse Economic Expectations,-42.3,,52
26,,EUR,2018-12-27 04:00:00,,,Low,ECB Economic Bulletin,,,52
27,216K,USD,2018-12-27 08:30:00,217K,,Low,Unemployment Claims,217K,,52
28,0.3%,USD,2018-12-27 09:00:00,0.3%,,Low,HPI m/m,0.2%,,52
29,128.1,USD,2018-12-27 10:00:00,133.7,worse,High,CB Consumer Confidence,136.4,better,52
30,0.9%,JPY,2018-12-27 18:30:00,0.9%,,Low,Tokyo Core CPI y/y,1.0%,,52
31,2.5%,JPY,2018-12-27 18:30:00,2.4%,worse,Low,Unemployment Rate,2.4%,,52
32,,JPY,2018-12-27 18:50:00,,,Low,BOJ Summary of Opinions,,,52
33,-1.1%,JPY,2018-12-27 18:50:00,-1.7%,better,Low,Prelim Industrial Production m/m,2.9%,,52
34,1.4%,JPY,2018-12-27 18:50:00,2.1%,worse,Low,Retail Sales y/y,3.6%,,52
35,0.1%,EUR,2018-12-28 00:00:00,0.3%,worse,Medium,German Prelim CPI m/m,0.1%,,52
36,96.3,CHF,2018-12-28 03:00:00,98.7,worse,Medium,KOF Economic Barometer,98.9,worse,52
37,1.2%,EUR,2018-12-28 03:00:00,1.6%,worse,Low,Spanish Flash CPI y/y,1.7%,,52
38,39.4K,GBP,2018-12-28 04:30:00,38.9K,better,Low,High Street Lending,39.6K,,52
39,2.70|1.5,EUR,2018-12-28 05:35:00,,,Low,Italian 10-y Bond Auction,3.24|1.4,,52
40,65.4,USD,2018-12-28 09:45:00,61.4,better,Medium,Chicago PMI,66.4,,52
41,-0.7%,USD,2018-12-28 10:00:00,0.9%,worse,Low,Pending Home Sales m/m,-2.6%,,52
42,-48B,USD,2018-12-28 10:30:00,-50B,,Low,Natural Gas Storage,-141B,,52
43,0.0M,USD,2018-12-28 11:00:00,-2.9M,,Low,Crude Oil Inventories,-0.5M,,52
44,-1.5%,GBP,2018-12-16 19:01:00,,,Low,Rightmove HPI m/m,-1.7%,,51
45,,AUD,2018-12-16 19:30:00,,,Medium,Mid-Year Economic and Fiscal Outlook,,,51
46,3.78B,EUR,2018-12-17 04:08:00,1.89B,better,Low,Italian Trade Balance,1.27B,,51
47,1.9%,EUR,2018-12-17 05:00:00,2.0%,worse,Low,Final CPI y/y,2.0%,,51
48,1.0%,EUR,2018-12-17 05:00:00,1.0%,,Low,Final Core CPI y/y,1.0%,,51
49,12.5B,EUR,2018-12-17 05:00:00,14.2B,worse,Low,Trade Balance,13.0B,worse,51
50,,EUR,2018-12-17 06:00:00,,,Low,German Buba Monthly Report,,,51
51,3.98B,CAD,2018-12-17 08:30:00,6.20B,worse,Low,Foreign Securities Purchases,7.76B,,51
52,10.9,USD,2018-12-17 08:30:00,20.1,worse,Low,Empire State Manufacturing Index,23.3,,51
53,56,USD,2018-12-17 10:00:00,61,worse,Low,NAHB Housing Market Index,60,,51
54,-0.5%,AUD,2018-12-17 10:30:00,,,Low,CB Leading Index m/m,-0.1%,,51
55,31.3B,USD,2018-12-17 16:00:00,22.3B,better,Low,TIC Long-Term Purchases,30.8B,,51
56,-24.1,NZD,2018-12-17 19:00:00,,,Medium,ANZ Business Confidence,-37.1,,51
57,,AUD,2018-12-17 19:30:00,,,Medium,Monetary Policy Meeting Minutes,,,51
58,3.6%,AUD,2018-12-17 20:40:00,,,Low,HIA New Home Sales m/m,-0.8%,,51
59,,CHF,2018-12-18 01:45:00,,,Low,SECO Economic Forecasts,,,51
60,101.0,EUR,2018-12-18 04:00:00,101.8,worse,Medium,German Ifo Business Climate,102.0,,51
61,-0.1%,CAD,2018-12-18 08:30:00,0.3%,worse,Low,Manufacturing Sales m/m,0.2%,,51
62,1.33M,USD,2018-12-18 08:30:00,1.27M,better,Medium,Building Permits,1.27M,,51
63,1.26M,USD,2018-12-18 08:30:00,1.23M,better,Low,Housing Starts,1.22M,,51
64,1.7%,NZD,2018-12-18 09:26:00,,,Low,GDT Price Index,2.2%,,51
65,109.1,NZD,2018-12-18 15:00:00,,,Medium,Westpac Consumer Sentiment,103.5,,51
66,-6.15B,NZD,2018-12-18 16:45:00,-5.94B,worse,Medium,Current Account,-1.63B,,51
67,-0.1%,AUD,2018-12-18 18:30:00,,,Low,MI Leading Index m/m,0.1%,,51
68,-0.49T,JPY,2018-12-18 18:50:00,-0.31T,worse,Low,Trade Balance,-0.29T,,51
69,0.1%,EUR,2018-12-19 02:00:00,-0.1%,better,Low,German PPI m/m,0.3%,,51
70,2.3%,GBP,2018-12-19 04:30:00,2.3%,,High,CPI y/y,2.4%,,51
71,-2.3%,GBP,2018-12-19 04:30:00,-2.9%,better,Medium,PPI Input m/m,0.8%,,51
72,3.2%,GBP,2018-12-19 04:30:00,3.2%,,Medium,RPI y/y,3.3%,,51
73,1.8%,GBP,2018-12-19 04:30:00,1.8%,,Low,Core CPI y/y,1.9%,,51
74,2.7%,GBP,2018-12-19 04:30:00,3.3%,worse,Low,HPI y/y,3.0%,worse,51
75,0.2%,GBP,2018-12-19 04:30:00,-0.1%,better,Low,PPI Output m/m,0.3%,,51
76,8,GBP,2018-12-19 06:00:00,6,better,Low,CBI Industrial Order Expectations,10,,51
77,-0.4%,CAD,2018-12-19 08:30:00,-0.4%,,High,CPI m/m,0.3%,,51
78,1.9%,CAD,2018-12-19 08:30:00,1.9%,,Medium,Common CPI y/y,1.9%,,51
79,1.9%,CAD,2018-12-19 08:30:00,2.0%,worse,Medium,Median CPI y/y,2.0%,,51
80,1.9%,CAD,2018-12-19 08:30:00,2.1%,worse,Medium,Trimmed CPI y/y,2.1%,,51
81,-125B,USD,2018-12-19 08:30:00,-125B,,Low,Current Account,-101B,,51
