,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,0.3%,EUR,2018-01-29 00:00:00,0.3%,,Low,German Import Prices m/m,0.8%,,2:00am
1,0.2%,USD,2018-01-29 00:00:00,0.2%,,Medium,Core PCE Price Index m/m,0.1%,,8:30am
2,0.4%,USD,2018-01-29 00:00:00,0.5%,worse,Medium,Personal Spending m/m,0.8%,better,8:30am
3,0.4%,USD,2018-01-29 00:00:00,0.3%,better,Low,Personal Income m/m,0.3%,,8:30am
4,640M,NZD,2018-01-29 00:00:00,-125M,better,Medium,Trade Balance,-1233M,worse,4:45pm
5,-0.1%,JPY,2018-01-29 00:00:00,1.6%,worse,Low,Household Spending y/y,1.7%,,6:30pm
6,2.8%,JPY,2018-01-29 00:00:00,2.7%,worse,Low,Unemployment Rate,2.7%,,6:30pm
7,3.6%,JPY,2018-01-29 00:00:00,2.1%,better,Low,Retail Sales y/y,2.1%,,6:50pm
8,11,AUD,2018-01-29 00:00:00,,,Medium,NAB Business Confidence,7,better,7:30pm
9,0.7%,JPY,2018-01-30 00:00:00,0.5%,better,Low,BOJ Core CPI y/y,0.6%,,12:00am
10,0.6%,EUR,2018-01-30 00:00:00,0.5%,better,Low,French Flash GDP q/q,0.6%,better,1:30am
11,2.63B,CHF,2018-01-30 00:00:00,2.54B,better,Low,Trade Balance,2.58B,worse,2:00am
12,-0.7%,EUR,2018-01-30 00:00:00,-0.5%,worse,Medium,German Prelim CPI m/m,0.6%,,12:00am
13,-1.2%,EUR,2018-01-30 00:00:00,0.4%,worse,Low,French Consumer Spending m/m,3.0%,better,2:45am
14,106.9,CHF,2018-01-30 00:00:00,110.9,worse,Medium,KOF Economic Barometer,111.4,,3:00am
15,0.7%,EUR,2018-01-30 00:00:00,0.7%,,Medium,Spanish Flash GDP q/q,0.8%,,3:00am
16,5.2B,GBP,2018-01-30 00:00:00,4.8B,better,Medium,Net Lending to Individuals m/m,5.2B,better,4:30am
17,-0.6%,GBP,2018-01-30 00:00:00,0.2%,worse,Low,M4 Money Supply m/m,0.2%,,4:30am
18,61K,GBP,2018-01-30 00:00:00,66K,worse,Low,Mortgage Approvals,65K,,4:30am
19,0.6%,EUR,2018-01-30 00:00:00,0.6%,,Medium,Prelim Flash GDP q/q,0.6%,,5:00am
20,2.06|1.3,EUR,2018-01-30 00:00:00,,,Low,Italian 10-y Bond Auction,1.86|1.8,,5:15am
21,6.4%,USD,2018-01-30 00:00:00,6.3%,,Low,S&P/CS Composite-20 HPI y/y,6.3%,,9:00am
22,125.4,USD,2018-01-30 00:00:00,123.2,better,High,CB Consumer Confidence,123.1,better,10:00am
23,,GBP,2018-01-30 00:00:00,,,High,BOE Gov Carney Speaks,,,10:30am
24,,JPY,2018-01-30 00:00:00,,,Low,BOJ Summary of Opinions,,,6:50pm
25,2.7%,JPY,2018-01-30 00:00:00,1.5%,better,Low,Prelim Industrial Production m/m,0.5%,worse,6:50pm
26,-0.5%,GBP,2018-01-30 00:00:00,,,Low,BRC Shop Price Index y/y,-0.6%,,7:01pm
27,-9,GBP,2018-01-30 00:00:00,-13,better,Low,GfK Consumer Confidence,-13,,7:01pm
28,0.6%,AUD,2018-01-30 00:00:00,0.7%,,High,CPI q/q,0.6%,,7:30pm
29,0.4%,AUD,2018-01-30 00:00:00,0.5%,worse,High,Trimmed Mean CPI q/q,0.4%,,7:30pm
30,0.3%,AUD,2018-01-30 00:00:00,0.5%,worse,Low,Private Sector Credit m/m,0.5%,,7:30pm
31,55.3,CNY,2018-01-30 00:00:00,,,Medium,Non-Manufacturing PMI,55.0,,7:53pm
32,51.3,CNY,2018-01-30 00:00:00,51.5,,Medium,Manufacturing PMI,51.6,,7:54pm
33,,USD,2018-01-30 00:00:00,,,High,President Trump Speaks,,,9:00pm
34,-2.1%,JPY,2018-01-31 00:00:00,1.1%,worse,Low,Housing Starts y/y,-0.4%,,12:00am
35,44.7,JPY,2018-01-31 00:00:00,44.9,,Low,Consumer Confidence,44.7,,12:02am
36,1.69,CHF,2018-01-31 00:00:00,,,Low,UBS Consumption Indicator,1.73,better,2:00am
37,-1.9%,EUR,2018-01-31 00:00:00,-0.3%,worse,Medium,German Retail Sales m/m,1.9%,worse,2:00am
38,-0.1%,EUR,2018-01-31 00:00:00,-0.3%,better,Low,French Prelim CPI m/m,0.3%,,2:45am
39,0.5%,EUR,2018-01-31 00:00:00,0.9%,worse,Medium,Spanish Flash CPI y/y,1.1%,worse,3:00am
40,-25K,EUR,2018-01-31 00:00:00,-16K,better,Low,German Unemployment Change,-30K,,3:55am
41,34.5,CHF,2018-01-31 00:00:00,,,Low,Credit Suisse Economic Expectations,52.0,,4:00am
42,10.8%,EUR,2018-01-31 00:00:00,10.9%,better,Low,Italian Monthly Unemployment Rate,10.9%,better,4:00am
43,1.3%,EUR,2018-01-31 00:00:00,1.3%,,High,CPI Flash Estimate y/y,1.4%,,5:00am
44,1.0%,EUR,2018-01-31 00:00:00,1.0%,,Medium,Core CPI Flash Estimate y/y,0.9%,,5:00am
45,8.7%,EUR,2018-01-31 00:00:00,8.7%,,Low,Unemployment Rate,8.7%,,5:00am
46,234K,USD,2018-01-31 00:00:00,186K,better,High,ADP Non-Farm Employment Change,242K,worse,8:15am
47,0.4%,CAD,2018-01-31 00:00:00,0.4%,,High,GDP m/m,0.0%,,8:30am
48,-0.9%,CAD,2018-01-31 00:00:00,-2.2%,better,Medium,RMPI m/m,5.4%,,8:30am
49,-0.1%,CAD,2018-01-31 00:00:00,-0.2%,better,Low,IPPI m/m,1.4%,,8:30am
50,0.6%,USD,2018-01-31 00:00:00,0.6%,,Medium,Employment Cost Index q/q,0.7%,,8:30am
51,65.7,USD,2018-01-31 00:00:00,64.2,better,Medium,Chicago PMI,67.6,,9:45am
52,0.5%,USD,2018-01-31 00:00:00,0.5%,,Medium,Pending Home Sales m/m,0.3%,,10:00am
53,6.8M,USD,2018-01-31 00:00:00,0.1M,,High,Crude Oil Inventories,-1.1M,,10:30am
54,,USD,2018-01-31 00:00:00,,,High,FOMC Statement,,,2:00pm
55,<1.50%,USD,2018-01-31 00:00:00,<1.50%,,High,Federal Funds Rate,<1.50%,,2:00pm
56,58.7,AUD,2018-01-31 00:00:00,,,Low,AIG Manufacturing Index,56.2,,5:30pm
57,-20.0%,AUD,2018-01-31 00:00:00,-7.9%,worse,Medium,Building Approvals m/m,12.6%,better,7:30pm
58,2.0%,AUD,2018-01-31 00:00:00,1.5%,better,Low,Import Prices q/q,-1.6%,,7:30pm
59,54.8,JPY,2018-01-31 00:00:00,54.4,better,Low,Final Manufacturing PMI,54.4,,7:30pm
60,51.5,CNY,2018-01-31 00:00:00,51.5,,Medium,Caixin Manufacturing PMI,51.5,,8:45pm
61,0.09|4.6,JPY,2018-01-31 00:00:00,,,Low,10-y Bond Auction,0.08|3.7,,10:45pm
62,-0.6%,AUD,2018-02-01 00:00:00,,,Low,Commodity Prices y/y,-6.0%,,12:30am
63,5,CHF,2018-02-01 00:00:00,2,better,Low,SECO Consumer Climate,-2,,1:45am
64,0.6%,GBP,2018-02-01 00:00:00,0.2%,better,Low,Nationwide HPI m/m,0.6%,,1:55am
65,0.6%,CHF,2018-02-01 00:00:00,1.5%,worse,Low,Retail Sales y/y,0.3%,better,3:15am
66,55.2,EUR,2018-02-01 00:00:00,55.7,worse,Low,Spanish Manufacturing PMI,55.8,,3:15am
67,65.3,CHF,2018-02-01 00:00:00,64.1,better,Low,Manufacturing PMI,65.2,,3:30am
68,59.0,EUR,2018-02-01 00:00:00,57.7,better,Low,Italian Manufacturing PMI,57.4,,3:45am
69,58.4,EUR,2018-02-01 00:00:00,58.1,,Low,French Final Manufacturing PMI,58.1,,3:50am
70,61.1,EUR,2018-02-01 00:00:00,61.2,,Low,German Final Manufacturing PMI,61.2,,3:55am
71,59.6,EUR,2018-02-01 00:00:00,59.6,,Low,Final Manufacturing PMI,59.6,,4:00am
72,55.3,GBP,2018-02-01 00:00:00,56.5,worse,High,Manufacturing PMI,56.2,,4:30am
73,0.98|2.0,EUR,2018-02-01 00:00:00,,,Low,French 10-y Bond Auction,0.79|1.4,,5:00am
74,-2.8%,USD,2018-02-01 00:00:00,,,Low,Challenger Job Cuts y/y,-3.6%,,7:30am
75,-0.1%,USD,2018-02-01 00:00:00,0.8%,better,Medium,Prelim Nonfarm Productivity q/q,2.7%,better,8:30am
76,2.0%,USD,2018-02-01 00:00:00,0.9%,better,Medium,Prelim Unit Labor Costs q/q,-0.2%,worse,8:30am
77,230K,USD,2018-02-01 00:00:00,237K,better,Medium,Unemployment Claims,231K,,8:30am
78,55.9,CAD,2018-02-01 00:00:00,,,Low,Manufacturing PMI,54.7,,9:30am
79,55.5,USD,2018-02-01 00:00:00,55.5,,Low,Final Manufacturing PMI,55.5,,9:45am
80,59.1,USD,2018-02-01 00:00:00,58.7,better,High,ISM Manufacturing PMI,59.7,,10:00am
81,0.7%,USD,2018-02-01 00:00:00,0.4%,better,Low,Construction Spending m/m,0.6%,,10:00am
82,72.7,USD,2018-02-01 00:00:00,68.3,better,Low,ISM Manufacturing Prices,69.0,,10:00am
83,-99B,USD,2018-02-01 00:00:00,-102B,,Low,Natural Gas Storage,-288B,,10:30am
84,17.2M,USD,2018-02-01 00:00:00,17.2M,,Low,Total Vehicle Sales,17.9M,,12:00am
85,-9.6%,NZD,2018-02-01 00:00:00,,,Low,Building Consents m/m,9.6%,worse,4:45pm
86,-2.8%,NZD,2018-02-01 00:00:00,,,Low,Visitor Arrivals m/m,2.5%,,4:45pm
87,9.7%,JPY,2018-02-01 00:00:00,11.0%,worse,Low,Monetary Base y/y,11.2%,,6:50pm
88,0.6%,AUD,2018-02-01 00:00:00,0.4%,better,Low,PPI q/q,0.2%,,7:30pm
89,63.7K,EUR,2018-02-02 00:00:00,50.3K,worse,Medium,Spanish Unemployment Change,-61.5K,,3:00am
90,50.2,GBP,2018-02-02 00:00:00,52.0,worse,High,Construction PMI,52.2,,4:30am
91,0.2%,EUR,2018-02-02 00:00:00,0.3%,worse,Low,PPI m/m,0.6%,,5:00am
92,0.2%,EUR,2018-02-02 00:00:00,0.3%,worse,Low,Italian Prelim CPI m/m,0.4%,,5:00am
93,0.3%,USD,2018-02-02 00:00:00,0.2%,better,High,Average Hourly Earnings m/m,0.4%,better,8:30am
94,200K,USD,2018-02-02 00:00:00,181K,better,High,Non-Farm Employment Change,160K,better,8:30am
95,4.1%,USD,2018-02-02 00:00:00,4.1%,,High,Unemployment Rate,4.1%,,8:30am
96,95.7,USD,2018-02-02 00:00:00,95.0,better,Medium,Revised UoM Consumer Sentiment,94.4,,10:00am
97,1.7%,USD,2018-02-02 00:00:00,1.5%,better,Low,Factory Orders m/m,1.7%,better,10:00am
98,2.7%,USD,2018-02-02 00:00:00,,,Low,Revised UoM Inflation Expectations,2.8%,,10:00am
99,,USD,2018-02-02 00:00:00,,,Medium,FOMC Member Williams Speaks,,,2:30pm
100,,All,2018-01-21 00:00:00,,,Medium,OPEC-JMMC Meetings,,,12:00am
101,,EUR,2018-01-22 00:00:00,,,Low,Eurogroup Meetings,,,12:00am
102,,EUR,2018-01-22 00:00:00,,,Low,German Buba Monthly Report,,,6:00am
103,0.7%,CAD,2018-01-22 00:00:00,1.0%,worse,Medium,Wholesale Sales m/m,1.6%,,8:30am
104,,JPY,2018-01-22 00:00:00,,,High,BOJ Outlook Report,,,10:14pm
105,,JPY,2018-01-22 00:00:00,,,High,Monetary Policy Statement,,,10:14pm
106,-0.10%,JPY,2018-01-22 00:00:00,-0.10%,,Medium,BOJ Policy Rate,-0.10%,,10:14pm
107,1.0%,JPY,2018-01-22 00:00:00,0.9%,,Low,All Industries Activity m/m,0.3%,,11:30pm
108,,JPY,2018-01-23 00:00:00,,,High,BOJ Press Conference,,,1:30am
109,,All,2018-01-23 00:00:00,,,Medium,WEF Annual Meetings,,,12:00am
110,1.0B,GBP,2018-01-23 00:00:00,4.2B,better,Medium,Public Sector Net Borrowing,6.6B,better,4:30am
111,20.4,EUR,2018-01-23 00:00:00,17.8,better,Medium,German ZEW Economic Sentiment,17.4,,5:00am
112,31.8,EUR,2018-01-23 00:00:00,29.7,better,Low,ZEW Economic Sentiment,29.0,,5:00am
113,,EUR,2018-01-23 00:00:00,,,Low,ECOFIN Meetings,,,12:00am
114,14,GBP,2018-01-23 00:00:00,13,,Low,CBI Industrial Order Expectations,17,,6:00am
115,14,USD,2018-01-23 00:00:00,19,worse,Low,Richmond Manufacturing Index,20,,9:59am
116,1,EUR,2018-01-23 00:00:00,1,,Low,Consumer Confidence,1,,10:00am
117,0.3%,AUD,2018-01-23 00:00:00,,,Low,MI Leading Index m/m,0.1%,,6:30pm
118,0.09T,JPY,2018-01-23 00:00:00,0.27T,worse,Low,Trade Balance,0.29T,worse,6:50pm
119,54.4,JPY,2018-01-23 00:00:00,54.3,,Low,Flash Manufacturing PMI,54.0,,7:30pm
